week,start_date,conference_game,venue,home_team,home_conference,home_points,away_team,away_conference,away_points
1,2019-08-24,false,Camping World Stadium,Florida,SEC,24,Miami,ACC,20
1,2019-08-25,false,Aloha Stadium,Hawai'i,Mountain West,45,Arizona,Pac-12,38
1,2019-08-29,false,Rentschler Field,Connecticut,American Athletic,24,Wagner,,21
1,2019-08-29,false,Doyt Perry Stadium,Bowling Green,Mid-American,46,Morgan State,,3
1,2019-08-29,false,UB Stadium,Buffalo,Mid-American,38,Robert Morris,,10
1,2019-08-29,false,Nippert Stadium,Cincinnati,American Athletic,24,UCLA,Pac-12,14
1,2019-08-29,false,Jerry Richardson Stadium,Charlotte,Conference USA,49,Gardner-Webb,,28
1,2019-08-29,false,Bright House Networks Stadium,UCF,American Athletic,62,Florida A&M,,0
1,2019-08-29,false,Houchens Industries-L. T. Smith Stadium,Western Kentucky,Conference USA,28,Central Arkansas,,35
1,2019-08-30,false,Legion Field,UAB,Conference USA,24,Alabama State,,19
1,2019-08-30,true,Memorial Stadium,Clemson,ACC,52,Georgia Tech,ACC,14
1,2019-08-30,false,Benson Field at Yulman Stadium,Tulane,American Athletic,42,Florida International,Conference USA,14
1,2019-08-30,false,Kyle Field,Texas A&M,SEC,41,Texas State,Sun Belt,7
1,2019-08-30,false,Kelly/Shorts Stadium,Central Michigan,Mid-American,38,Albany,,21
1,2019-08-30,false,TCF Bank Stadium,Minnesota,Big Ten,28,South Dakota State,,21
1,2019-08-30,false,Spartan Stadium,San Jose State,Mountain West,35,Northern Colorado,,18
1,2019-08-30,false,Sun Devil Stadium,Arizona State,Pac-12,30,Kent State,Mid-American,7
1,2019-08-30,false,LaVell Edwards Stadium,BYU,FBS Independents,12,Utah,Pac-12,30
1,2019-08-30,false,Blaik Field at Michie Stadium,Army,FBS Independents,14,Rice,Conference USA,7
1,2019-08-30,false,Spartan Stadium,Michigan State,Big Ten,28,Tulsa,American Athletic,7
1,2019-08-30,false,High Point Solutions Stadium,Rutgers,Big Ten,48,UMass,FBS Independents,21
1,2019-08-30,false,Raymond James Stadium,South Florida,American Athletic,0,Wisconsin,Big Ten,49
1,2019-08-31,false,BB&T Field,Wake Forest,ACC,38,Utah State,Mountain West,35
1,2019-08-31,false,Mackay Stadium,Nevada,Mountain West,34,Purdue,Big Ten,31
1,2019-08-31,false,Sports Authority Field at Mile High,Colorado,Pac-12,52,Colorado State,Mountain West,31
1,2019-08-31,false,Reser Stadium,Oregon State,Pac-12,36,Oklahoma State,Big 12,52
1,2019-08-31,false,Memorial Stadium,Illinois,Big Ten,42,Akron,Mid-American,3
1,2019-08-31,false,Memorial Stadium,Nebraska,Big Ten,35,South Alabama,Sun Belt,21
1,2019-08-31,false,Liberty Bowl Memorial Stadium,Memphis,American Athletic,15,Ole Miss,SEC,10
1,2019-08-31,false,Ohio Stadium,Ohio State,Big Ten,45,Florida Atlantic,Conference USA,21
1,2019-08-31,false,Commonwealth Stadium,Kentucky,SEC,38,Toledo,Mid-American,24
1,2019-08-31,false,Mercedes-Benz Superdome,Louisiana,Sun Belt,28,Mississippi State,SEC,38
1,2019-08-31,false,Memorial Stadium,Kansas,Big 12,24,Indiana State,,17
1,2019-08-31,false,Carter-Finley Stadium,NC State,ACC,34,East Carolina,American Athletic,6
1,2019-08-31,false,Bobby Bowden Field at Doak Campbell Stadium,Florida State,ACC,31,Boise State,Mountain West,36
1,2019-08-31,false,Lucas Oil Stadium,Ball State,Mid-American,24,Indiana,Big Ten,34
1,2019-08-31,false,Jack Trice Stadium,Iowa State,Big 12,29,Northern Iowa,,26
1,2019-08-31,false,Maryland Stadium,Maryland,Big Ten,79,Howard,,0
1,2019-08-31,false,Peden Stadium,Ohio,Mid-American,41,Rhode Island,,20
1,2019-08-31,false,Mountaineer Field at Milan Puskar Stadium,West Virginia,Big 12,20,James Madison,,13
1,2019-08-31,false,Husky Stadium,Washington,Pac-12,47,Eastern Washington,,14
1,2019-08-31,false,Lincoln Financial Field,Temple,American Athletic,56,Bucknell,,12
1,2019-08-31,false,Brooks Stadium,Coastal Carolina,Sun Belt,23,Eastern Michigan,Mid-American,30
1,2019-08-31,false,Bank of America Stadium,North Carolina,ACC,24,South Carolina,SEC,20
1,2019-08-31,false,Navy-Marine Corps Memorial Stadium,Navy,American Athletic,45,Holy Cross,,7
1,2019-08-31,false,Falcon Stadium,Air Force,Mountain West,48,Colgate,,7
1,2019-08-31,false,Kidd Brewer Stadium,Appalachian State,Sun Belt,42,East Tennessee State,,7
1,2019-08-31,false,Beaver Stadium,Penn State,Big Ten,79,Idaho,,7
1,2019-08-31,false,Mercedes-Benz Stadium,Alabama,SEC,42,Duke,ACC,3
1,2019-08-31,false,Neyland Stadium,Tennessee,SEC,30,Georgia State,Sun Belt,38
1,2019-08-31,false,Jones AT&T Stadium,Texas Tech,Big 12,45,Montana State,,10
1,2019-08-31,false,Donald W. Reynolds Razorback Stadium Frank Broyles Field,Arkansas,SEC,20,Portland State,,13
1,2019-08-31,true,Alumni Stadium,Boston College,ACC,35,Virginia Tech,ACC,28
1,2019-08-31,false,Stanford Stadium,Stanford,Pac-12,17,Northwestern,Big Ten,7
1,2019-08-31,false,University Stadium,New Mexico,Mountain West,39,Sam Houston State,,31
