Week,Date,Away,Home
Week 1,,Nebraska,Illinois
Week 1,,UConn,Fresno State
Week 1,,Hawai'i,UCLA
Week 1,,Southern Utah,San Jose State
Week 1,,UTEP,New Mexico State
Week 1,,UAB,Jacksonville State
Week 1,,Temple,Rutgers
Week 1,,Boise State,UCF
Week 1,,Long Island University,Florida International
Week 1,,Wagner,Buffalo
Week 1,,The Citadel,Coastal Carolina
Week 1,,Western Illinois,Ball State
Week 1,,South Florida,NC State
Week 1,,East Carolina,Appalachian State
Week 1,,UC Davis,Tulsa
Week 1,,Ohio State,Minnesota
Week 1,,Bowling Green,Tennessee
Week 1,,UT Martin,Western Kentucky
Week 1,,Houston Baptist,New Mexico
Week 1,,Eastern Washington,UNLV
Week 1,,Southern Utah,Arizona State
Week 1,,Weber State,Utah
Week 1,,North Carolina,Virginia Tech
Week 1,,Duke,Charlotte
Week 1,,Old Dominion,Wake Forest
Week 1,,St. Francis (PA),Eastern Michigan
Week 1,,South Dakota,Kansas
Week 1,,Michigan State,Northwestern
Week 1,,South Dakota State,Colorado State
Week 1,,Northern Colorado,Colorado
Week 1,,Oklahoma,Tulane
Week 1,,Penn State,Wisconsin
Week 1,,Western Michigan,Michigan
Week 1,,Stanford,Kansas State
Week 1,,Army,Georgia State
Week 1,,Colgate,Boston College
Week 1,,Holy Cross,UConn
Week 1,,UL Monroe,Kentucky
Week 1,,Fordham,Nebraska
Week 1,,Fresno State,Oregon
Week 1,,Rice,Arkansas
Week 1,,Lafayette,Air Force
Week 1,,Alabama,Miami
Week 1,,West Virginia,Maryland
Week 1,,Indiana,Iowa
Week 1,,Marshall,Navy
Week 1,,Miami (OH),Cincinnati
Week 1,,Northern Iowa,Iowa State
Week 1,,Central Michigan,Missouri
Week 1,,Louisiana Tech,Mississippi State
Week 1,,UMass,Pittsburgh
Week 1,,Montana State,Wyoming
Week 1,,Louisiana,Texas
Week 1,,San Jose State,USC
Week 1,,Campbell,Liberty
Week 1,,Gardner-Webb,Georgia Southern
Week 1,,Texas Tech,Houston
Week 1,,Oregon State,Purdue
Week 1,,Abilene Christian,SMU
Week 1,,Akron,Auburn
Week 1,,Baylor,Texas State
Week 1,,Central Arkansas,Arkansas State
Week 1,,Eastern Illinois,South Carolina
Week 1,,Missouri State,Oklahoma State
Week 1,,Monmouth,Middle Tennessee
Week 1,,Nicholls,Memphis
Week 1,,Norfolk State,Toledo
Week 1,,Southern,Troy
Week 1,,Syracuse,Ohio
Week 1,,Georgia,Clemson
Week 1,,Florida Atlantic,Florida
Week 1,,Northern Illinois,Georgia Tech
Week 1,,UTSA,Illinois
Week 1,,Northwestern State,North Texas
Week 1,,William & Mary,Virginia
Week 1,,Kent State,Texas A&M
Week 1,,Montana,Washington
Week 1,,Duquesne,TCU
Week 1,,East Tennessee State,Vanderbilt
Week 1,,Southern Mississippi,South Alabama
Week 1,,LSU,UCLA
Week 1,,Bethune-Cookman,UTEP
Week 1,,BYU,Arizona
Week 1,,Nevada,California
Week 1,,New Mexico State,San Diego State
Week 1,,Utah State,Washington State
Week 1,,Portland State,Hawai'i
Week 1,,Notre Dame,Florida State
Week 1,,Ole Miss,Louisville
Week 2,,Kansas,Coastal Carolina
Week 2,,North Carolina A&T,Duke
Week 2,,North Dakota,Utah State
Week 2,,UTEP,Boise State
Week 2,,Illinois,Virginia
Week 2,,Western Kentucky,Army
Week 2,,VMI,Kent State
Week 2,,Florida,South Florida
Week 2,,Oregon,Ohio State
Week 2,,Alabama State,Auburn
Week 2,,Tulsa,Oklahoma State
Week 2,,Indiana State,Northwestern
Week 2,,Youngstown State,Michigan State
Week 2,,Kennesaw State,Georgia Tech
Week 2,,Miami (OH),Minnesota
Week 2,,Norfolk State,Wake Forest
Week 2,,Pittsburgh,Tennessee
Week 2,,South Carolina,East Carolina
Week 2,,Wyoming,Northern Illinois
Week 2,,Duquesne,Ohio
Week 2,,Middle Tennessee,Virginia Tech
Week 2,,Rutgers,Syracuse
Week 2,,Toledo,Notre Dame
Week 2,,Purdue,UConn
Week 2,,Robert Morris,Central Michigan
Week 2,,Air Force,Navy
Week 2,,Iowa,Iowa State
Week 2,,Texas A&M,Colorado
Week 2,,Ball State,Penn State
Week 2,,Buffalo,Nebraska
Week 2,,California,TCU
Week 2,,Murray State,Cincinnati
Week 2,,Temple,Akron
Week 2,,UAB,Georgia
Week 2,,Georgia Southern,Florida Atlantic
Week 2,,New Mexico State,New Mexico
Week 2,,Mercer,Alabama
Week 2,,South Alabama,Bowling Green
Week 2,,Illinois State,Western Michigan
Week 2,,Long Island University,West Virginia
Week 2,,South Carolina State,Clemson
Week 2,,Portland State,Washington State
Week 2,,Gardner-Webb,Charlotte
Week 2,,Lamar,UTSA
Week 2,,Houston,Rice
Week 2,,Bethune-Cookman,UCF
Week 2,,North Carolina Central,Marshall
Week 2,,Texas,Arkansas
Week 2,,Appalachian State,Miami
Week 2,,NC State,Mississippi State
Week 2,,Eastern Michigan,Wisconsin
Week 2,,Eastern Kentucky,Louisville
Week 2,,Grambling,Southern Mississippi
Week 2,,Hampton,Old Dominion
Week 2,,Liberty,Troy
Week 2,,Memphis,Arkansas State
Week 2,,Morgan State,Tulane
Week 2,,Nicholls,Louisiana
Week 2,,North Texas,SMU
Week 2,,SE Louisiana,Louisiana Tech
Week 2,,Southern Illinois,Kansas State
Week 2,,Stephen F. Austin,Texas Tech
Week 2,,Texas Southern,Baylor
Week 2,,Texas State,Florida International
Week 2,,Washington,Michigan
Week 2,,Missouri,Kentucky
Week 2,,Howard,Maryland
Week 2,,Idaho,Indiana
Week 2,,Austin Peay,Ole Miss
Week 2,,Georgia State,North Carolina
Week 2,,Jacksonville State,Florida State
Week 2,,McNeese,LSU
Week 2,,Vanderbilt,Colorado State
Week 2,,San Diego State,Arizona
Week 2,,Utah,BYU
Week 2,,Stanford,USC
Week 2,,UNLV,Arizona State
Week 2,,Idaho State,Nevada
Week 2,,Hawai'i,Oregon State
Week 2,,Boston College,UMass
Week 2,,Cal Poly,Fresno State
Week 2,,Western Carolina,Oklahoma
Week 3,,Ohio,Louisiana
Week 3,,UCF,Louisville
Week 3,,Maryland,Illinois
Week 3,,Michigan State,Miami
Week 3,,Cincinnati,Indiana
Week 3,,Nebraska,Oklahoma
Week 3,,Boston College,Temple
Week 3,,Coastal Carolina,Buffalo
Week 3,,Virginia Tech,West Virginia
Week 3,,Northern Illinois,Michigan
Week 3,,UConn,Army
Week 3,,Albany,Syracuse
Week 3,,Chattanooga,Kentucky
Week 3,,New Mexico,Texas A&M
Week 3,,Southeast Missouri State,Missouri
Week 3,,Tennessee Tech,Tennessee
Week 3,,Western Michigan,Pittsburgh
Week 3,,Minnesota,Colorado
Week 3,,Nevada,Kansas State
Week 3,,Purdue,Notre Dame
Week 3,,Alabama,Florida
Week 3,,Florida State,Wake Forest
Week 3,,Georgia Tech,Clemson
Week 3,,USC,Washington State
Week 3,,Tulsa,Ohio State
Week 3,,Delaware,Rutgers
Week 3,,Kent State,Iowa
Week 3,,SMU,Louisiana Tech
Week 3,,Elon,Appalachian State
Week 3,,Baylor,Kansas
Week 3,,Bryant,Akron
Week 3,,Long Island University,Miami (OH)
Week 3,,Idaho,Oregon State
Week 3,,Colorado State,Toledo
Week 3,,Georgia Southern,Arkansas
Week 3,,Mississippi State,Memphis
Week 3,,Northwestern,Duke
Week 3,,Sacramento State,California
Week 3,,Ball State,Wyoming
Week 3,,Arkansas State,Washington
Week 3,,Murray State,Bowling Green
Week 3,,Fordham,Florida Atlantic
Week 3,,East Carolina,Marshall
Week 3,,Middle Tennessee,UTSA
Week 3,,Old Dominion,Liberty
Week 3,,South Carolina,Georgia
Week 3,,Utah,San Diego State
Week 3,,Charlotte,Georgia State
Week 3,,Florida A&M,South Florida
Week 3,,Florida International,Texas Tech
Week 3,,Grambling,Houston
Week 3,,Incarnate Word,Texas State
Week 3,,Troy,Southern Mississippi
Week 3,,Auburn,Penn State
Week 3,,Central Michigan,LSU
Week 3,,Utah State,Air Force
Week 3,,Virginia,North Carolina
Week 3,,Stony Brook,Oregon
Week 3,,UAB,North Texas
Week 3,,Furman,NC State
Week 3,,Alcorn State,South Alabama
Week 3,,Jackson State,UL Monroe
Week 3,,Rice,Texas
Week 3,,Stanford,Vanderbilt
Week 3,,Tulane,Ole Miss
Week 3,,Oklahoma State,Boise State
Week 3,,Northern Arizona,Arizona
Week 3,,Arizona State,BYU
Week 3,,Iowa State,UNLV
Week 3,,Fresno State,UCLA
Week 3,,San Jose State,Hawai'i
Week 3,,Eastern Michigan,UMass
Week 3,,South Carolina State,New Mexico State
Week 4,,Marshall,Appalachian State
Week 4,,Middle Tennessee,Charlotte
Week 4,,Wake Forest,Virginia
Week 4,,Liberty,Syracuse
