,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Ohio State,45.5,47.3,27.0,48.9,40.8,41.0
1,2,W Kentucky,43.1,51.0,59.0,44.4,42.3,19.5
2,3,Alabama,42.1,35.7,41.0,46.3,37.8,48.5
3,4,Wake Forest,41.3,29.7,21.0,40.8,41.6,32.3
4,5,Pittsburgh,40.2,41.3,45.0,38.5,41.8,26.4
5,6,Coastal Car,40.0,36.3,47.0,45.2,34.8,36.6
6,7,Cincinnati,39.0,39.3,35.0,44.7,33.3,35.6
7,8,Georgia,38.0,36.7,24.0,41.2,35.7,32.3
8,9,Michigan,37.7,47.7,42.0,37.9,37.5,28.3
9,10,Tennessee,37.3,40.7,45.0,37.9,36.3,21.5
10,11,S Methodist,36.8,33.3,31.0,43.4,31.3,37.3
11,12,Houston,36.7,32.0,20.0,33.5,38.3,30.0
12,13,N Carolina,36.6,37.0,30.0,47.3,23.8,41.0
13,14,TX-San Ant,36.5,35.3,49.0,34.3,38.7,28.6
14,14,UCLA,36.5,49.3,42.0,37.0,35.8,35.4
15,16,Nevada,35.5,37.3,52.0,41.2,30.8,30.8
16,17,Notre Dame,35.3,42.7,45.0,33.7,37.4,33.4
17,17,Texas,35.3,33.7,22.0,44.7,25.8,42.7
18,19,Utah,35.1,34.7,38.0,33.8,36.0,30.2
19,20,Oklahoma,35.0,25.0,33.0,35.2,34.8,42.5
20,21,Iowa State,34.4,35.7,48.0,35.6,33.3,32.9
21,22,Mississippi,34.3,30.3,31.0,38.5,29.2,39.2
22,23,Kentucky,33.8,47.3,52.0,40.0,26.4,21.8
23,23,Virginia,33.8,21.7,24.0,30.3,38.0,28.0
24,25,App State,33.8,27.0,38.0,35.6,32.6,32.2
25,26,Liberty,32.4,28.7,56.0,35.6,30.1,37.1
26,27,Louisville,32.1,41.3,21.0,31.5,32.8,29.5
27,28,Marshall,32.1,30.3,21.0,26.2,36.3,25.1
28,28,Toledo,32.1,36.0,24.0,31.6,32.4,35.0
29,30,NC State,32.0,39.0,34.0,34.8,28.6,30.3
30,31,Central Mich,31.9,40.7,31.0,36.0,28.5,31.3
31,32,N Illinois,31.5,34.3,41.0,31.0,31.9,24.8
32,33,LA Lafayette,31.4,27.0,36.0,33.5,29.6,33.6
33,33,Utah State,31.4,35.0,24.0,23.4,36.4,15.5
34,35,Oklahoma St,31.3,25.3,16.0,39.7,22.8,30.2
35,36,W Michigan,31.1,36.0,42.0,36.4,26.7,41.7
36,37,Michigan St,31.0,25.7,30.0,35.6,27.2,18.0
37,38,Fresno St,30.9,35.0,31.0,33.0,29.4,32.8
38,38,BYU,30.9,32.3,28.0,34.2,28.6,41.5
39,40,Miami (FL),30.9,37.7,47.0,28.7,33.6,34.0
40,40,Army,30.9,25.7,13.0,40.4,23.0,22.6
41,42,Air Force,30.6,41.3,48.0,32.4,29.2,24.3
42,43,Kent State,30.3,36.3,23.0,43.8,23.6,49.8
43,43,Oregon St,30.3,22.0,13.0,34.6,27.3,28.9
44,45,Arkansas,30.3,28.3,34.0,35.2,24.4,25.7
45,46,Texas Tech,30.2,21.7,24.0,30.0,30.3,28.4
46,47,Oregon,30.0,18.3,10.0,37.3,22.7,31.3
47,48,E Michigan,29.8,17.3,20.0,30.2,29.4,33.2
48,49,Baylor,29.7,22.7,21.0,33.2,26.2,23.3
49,50,E Carolina,29.5,27.0,13.0,31.2,28.2,30.2
50,51,UAB,29.4,34.7,31.0,32.2,27.4,26.4
51,52,Central FL,29.4,31.3,17.0,26.7,32.6,42.2
52,53,Boise State,29.2,25.3,16.0,30.3,28.0,33.9
53,54,Memphis,29.0,25.0,33.0,30.7,27.0,28.5
54,55,Miss State,28.7,30.7,21.0,24.2,34.2,21.4
55,56,USC,28.7,26.0,14.0,30.9,25.6,33.3
56,57,Arizona St,28.6,27.7,38.0,31.7,25.0,40.3
57,58,Florida St,28.5,26.0,21.0,33.0,23.2,23.9
58,59,Florida,28.4,21.3,24.0,33.6,24.0,39.8
59,60,Middle Tenn,28.2,25.0,31.0,34.0,25.3,22.9
60,61,Miami (OH),27.9,42.0,47.0,35.3,23.7,28.7
61,62,Purdue,27.5,35.7,44.0,25.5,29.5,27.2
62,63,Texas A&M,27.3,21.0,24.0,33.7,19.6,32.6
63,64,TX Christian,27.2,20.7,14.0,28.8,25.2,30.8
64,64,North Texas,27.2,38.0,45.0,23.6,30.2,31.9
65,66,Tulsa,27.2,36.0,30.0,29.4,25.6,27.1
66,67,Hawaii,27.1,33.7,38.0,29.6,25.3,26.2
67,68,Missouri,27.0,24.0,17.0,29.2,24.4,26.7
68,68,Wash State,27.0,36.0,40.0,27.5,26.4,27.0
69,70,Auburn,26.6,24.3,22.0,31.8,20.4,25.1
70,71,LA Tech,26.5,30.7,31.0,27.6,25.5,22.3
71,71,LSU,26.5,22.3,27.0,30.7,21.4,32.0
72,73,Georgia State,26.3,35.7,37.0,23.2,29.3,33.3
73,74,Charlotte,26.2,31.3,34.0,28.2,24.5,27.0
74,75,Minnesota,26.1,26.7,23.0,23.6,29.6,27.3
75,76,Old Dominion,26.0,32.3,17.0,32.6,21.3,--
76,77,Kansas St,25.9,20.3,17.0,27.3,24.2,26.6
77,78,Wisconsin,25.8,27.7,13.0,25.4,26.4,25.1
78,79,Nebraska,25.7,22.0,21.0,29.0,21.8,23.1
79,80,Buffalo,25.6,16.0,3.0,28.0,23.7,43.4
80,81,VA Tech,25.2,34.3,29.0,28.7,21.0,31.1
81,81,Penn State,25.2,24.0,27.0,26.5,23.6,29.8
82,83,Clemson,24.8,40.7,30.0,31.0,19.7,43.0
83,84,San Diego St,24.8,22.7,13.0,25.0,24.4,24.6
84,85,S Alabama,24.6,14.0,21.0,28.4,21.5,19.9
85,86,Maryland,24.1,26.3,40.0,25.2,22.8,23.6
86,87,TX El Paso,24.0,29.0,24.0,25.6,22.9,23.8
87,88,Iowa,23.9,21.3,3.0,25.4,22.2,31.8
88,89,Arkansas St,23.9,23.0,22.0,26.6,21.7,31.2
89,90,Tulane,23.8,28.7,28.0,22.6,24.8,34.7
90,90,Ball State,23.8,22.0,20.0,18.8,28.0,34.3
91,92,Colorado St,23.7,25.3,10.0,20.6,26.3,22.3
92,93,Fla Atlantic,23.6,16.7,17.0,30.8,17.7,18.9
93,94,Wyoming,23.5,23.7,14.0,18.6,27.7,26.5
94,95,W Virginia,23.3,27.3,34.0,23.8,22.8,23.2
95,96,Washington,22.8,20.0,13.0,26.5,18.4,30.3
96,97,Boston Col,22.3,24.7,10.0,19.6,24.5,27.8
97,97,Ohio,22.3,22.3,10.0,24.2,20.7,34.3
98,99,California,22.1,26.3,24.0,22.4,21.8,20.3
99,99,GA Tech,22.1,10.0,0.0,17.8,25.7,23.9
100,99,Texas State,22.1,25.0,24.0,27.6,17.5,27.7
101,102,S Florida,21.8,18.3,13.0,31.0,14.2,22.6
102,103,LA Monroe,21.7,18.0,16.0,29.2,15.5,16.3
103,104,Syracuse,21.5,11.3,14.0,19.5,24.0,17.8
104,105,Kansas,21.1,37.7,28.0,16.4,25.0,15.8
105,106,Bowling Grn,20.9,15.0,21.0,20.2,21.5,11.4
106,107,Duke,20.8,16.3,10.0,28.3,11.8,24.8
107,108,N Mex State,20.7,21.0,44.0,20.3,21.0,--
108,109,Stanford,20.4,13.0,14.0,16.7,24.2,29.3
109,110,Illinois,20.2,28.0,47.0,23.1,16.0,20.1
110,111,Navy,20.1,30.0,17.0,20.5,19.7,16.6
111,112,Troy,19.9,12.7,10.0,19.8,20.0,27.0
112,113,UNLV,19.6,20.3,14.0,18.8,20.3,17.3
113,114,GA Southern,19.4,19.3,3.0,23.6,15.8,27.3
114,115,S Carolina,19.1,16.3,0.0,19.2,19.0,23.5
115,115,Rice,19.1,28.0,35.0,22.2,16.5,23.4
116,117,Akron,18.5,18.0,14.0,15.2,21.2,17.2
117,118,Rutgers,18.3,18.0,16.0,21.2,15.8,26.7
118,119,Florida Intl,17.8,11.3,17.0,20.0,16.0,25.5
119,120,San Jose St,17.7,16.7,9.0,20.6,15.3,28.6
120,121,Colorado,17.3,17.7,13.0,21.0,14.2,28.5
121,122,Arizona,17.0,20.7,15.0,17.0,17.0,17.4
