,Rank,Team,2010,Last 3,Last 1,Home,Away,2009,Season,Week
0,,TX Christian,11.0,8.0,0.0,5.0,15.0,12.1,2010,7
1,,Iowa,11.0,12.3,3.0,3.3,34.0,15.3,2010,7
2,,Missouri,12.5,12.3,0.0,12.3,13.0,26.5,2010,7
3,,Alabama,13.3,20.3,35.0,4.0,22.7,12.6,2010,7
4,,Ohio State,13.5,14.3,10.0,13.6,13.0,12.5,2010,7
5,,Boise State,14.8,12.7,14.0,19.0,12.0,17.2,2010,7
6,,LSU,15.2,19.0,29.0,11.7,18.7,16.2,2010,7
7,,Nebraska,15.3,17.0,13.0,13.5,17.0,10.4,2010,7
8,,Central FL,15.5,11.3,7.0,17.5,13.5,22.4,2010,7
9,,Utah,15.6,14.7,27.0,12.3,20.5,20.2,2010,7
10,,S Florida,16.5,9.3,13.0,9.3,38.0,22.7,2010,7
11,,Arizona,16.8,21.7,29.0,21.7,2.0,24.5,2010,7
12,,W Virginia,17.0,15.7,10.0,13.5,20.5,21.8,2010,7
13,,Florida St,17.6,10.3,17.0,5.0,26.0,31.8,2010,7
14,,Air Force,17.6,15.7,27.0,15.7,20.5,17.0,2010,7
15,,Syracuse,17.7,17.7,9.0,--,17.7,28.3,2010,7
16,,Nevada,17.8,17.3,13.0,16.7,19.5,28.5,2010,7
17,,Miss State,17.8,21.7,24.0,12.0,26.5,28.5,2010,7
18,,Arkansas,18.0,21.7,17.0,24.0,16.0,26.3,2010,7
19,,Rutgers,18.0,19.3,24.0,19.3,14.0,20.5,2010,7
20,,S Carolina,18.8,20.7,21.0,13.3,35.0,20.9,2010,7
21,,Penn State,18.8,23.3,33.0,15.3,24.0,13.0,2010,7
22,,California,19.0,23.0,7.0,7.0,31.0,27.0,2010,7
23,,Oregon,19.6,28.3,23.0,15.5,22.3,23.8,2010,7
24,,San Diego St,19.8,19.3,24.0,7.0,24.0,31.5,2010,7
25,,Texas,20.0,25.3,28.0,20.5,19.7,16.7,2010,7
26,,Florida,20.2,26.0,33.0,18.3,24.0,13.2,2010,7
27,,Navy,20.3,21.3,27.0,--,20.3,19.5,2010,7
28,,Georgia,20.3,22.3,14.0,17.3,23.3,28.1,2010,7
29,,Illinois,20.5,19.7,13.0,23.0,18.0,31.4,2010,7
30,,Louisville,20.5,19.7,0.0,11.5,29.5,27.7,2010,7
31,,Michigan St,20.6,24.0,17.0,23.0,17.0,28.3,2010,7
32,,Purdue,21.0,20.3,17.0,22.0,20.0,29.1,2010,7
33,,N Carolina,21.2,15.3,16.0,21.0,21.5,18.5,2010,7
34,,Auburn,21.3,21.3,34.0,20.0,24.0,27.3,2010,7
35,,Northwestern,21.4,24.3,20.0,22.5,20.7,25.3,2010,7
36,,N Illinois,21.8,18.0,17.0,17.0,23.0,22.8,2010,7
37,,Clemson,22.0,26.0,21.0,20.0,24.0,21.8,2010,7
38,,Vanderbilt,22.0,20.0,6.0,18.7,27.0,25.5,2010,7
39,,Wisconsin,22.2,25.3,23.0,18.7,27.5,22.4,2010,7
40,,VA Tech,22.2,17.0,21.0,24.0,21.0,15.6,2010,7
41,,Maryland,22.3,25.0,16.0,22.0,22.5,30.9,2010,7
42,,Temple,22.8,29.3,31.0,13.0,29.3,21.9,2010,7
43,,Oklahoma,22.8,24.3,20.0,21.7,24.5,15.8,2010,7
44,,Cincinnati,23.0,21.3,3.0,17.0,29.0,24.8,2010,7
45,,Baylor,23.2,21.7,45.0,6.5,34.3,28.5,2010,7
46,,Notre Dame,23.5,22.3,17.0,23.5,23.5,25.9,2010,7
47,,Kent State,23.5,22.7,17.0,17.0,25.7,24.5,2010,7
48,,Idaho,23.5,18.7,13.0,7.0,29.0,36.0,2010,7
