,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last,Season,Week
0,1,Oklahoma,49.0,0-0,0-0,0-0,1,35,1,2011,13
1,2,Wisconsin,41.7,0-0,0-0,0-0,1,41,2,2011,13
2,3,LSU,38.9,1-0,0-0,0-0,1,20,3,2011,13
3,4,Boise State,26.8,1-0,0-0,0-0,2,14,4,2011,13
4,5,Arkansas,25.5,1-0,0-0,0-0,4,50,6,2011,13
5,6,Oregon St,21.8,0-0,0-0,0-0,5,108,5,2011,13
6,7,Oregon,13.1,0-1,0-0,0-0,1,13,7,2011,13
7,8,Texas A&M,10.3,0-1,0-0,0-0,8,56,10,2011,13
8,9,Georgia,9.8,0-1,1-0,0-0,4,34,9,2011,13
9,10,S Carolina,9.7,0-0,0-0,0-0,3,21,11,2011,13
10,11,Florida,8.8,0-1,0-0,0-0,7,48,8,2011,13
11,12,Rutgers,5.7,0-0,0-0,0-0,4,78,12,2011,13
12,13,Alabama,--,0-0,0-0,0-0,1,51,14,2011,13
13,14,Oklahoma St,--,0-0,0-0,0-0,5,44,13,2011,13
14,15,Stanford,--,0-0,0-0,0-0,4,43,15,2011,13
15,16,USC,--,0-0,0-0,0-0,11,80,16,2011,13
16,17,Kansas St,--,0-0,0-0,0-0,15,87,17,2011,13
17,18,Houston,--,0-0,0-0,0-0,10,63,18,2011,13
18,19,Notre Dame,--,0-0,0-0,0-0,15,58,20,2011,13
19,20,Utah,--,0-0,0-0,0-0,12,111,19,2011,13
20,21,TX Christian,--,0-0,0-0,0-0,3,29,21,2011,13
21,22,Florida St,--,0-0,0-0,0-0,10,47,22,2011,13
22,23,Missouri,--,0-0,0-0,0-0,11,107,24,2011,13
23,24,VA Tech,--,0-0,0-0,0-0,21,118,26,2011,13
24,25,Temple,--,0-0,0-0,0-0,9,74,23,2011,13
25,26,Michigan,--,0-0,0-0,0-0,17,61,27,2011,13
26,27,Arizona St,--,0-0,0-0,0-0,6,110,30,2011,13
27,28,Toledo,--,0-0,0-0,0-0,9,85,34,2011,13
28,29,Texas Tech,--,0-0,0-0,0-0,14,116,31,2011,13
29,30,Penn State,--,0-0,0-0,0-0,19,91,37,2011,13
30,31,Tulsa,--,0-0,0-0,0-0,28,100,39,2011,13
31,32,LA Tech,--,0-0,0-0,0-0,17,79,32,2011,13
32,33,Virginia,--,0-0,0-0,0-0,33,114,42,2011,13
33,34,BYU,--,0-0,0-0,0-0,11,47,33,2011,13
34,35,Miami (FL),--,0-0,0-0,0-0,17,84,41,2011,13
35,36,Nebraska,--,0-0,0-0,0-0,16,100,28,2011,13
36,37,Louisville,--,0-0,0-0,0-0,30,113,44,2011,13
37,38,Michigan St,--,0-0,0-0,0-0,8,110,36,2011,13
38,39,S Mississippi,--,0-0,0-0,0-0,14,95,29,2011,13
39,40,Air Force,--,0-0,0-0,0-0,24,80,40,2011,13
40,41,GA Tech,--,0-0,0-0,0-0,5,52,43,2011,13
41,42,Cincinnati,--,0-0,0-0,0-0,14,94,35,2011,13
42,43,Clemson,--,0-0,0-0,0-0,2,60,25,2011,13
43,44,Illinois,--,0-0,0-0,0-0,24,70,45,2011,13
44,45,Ohio State,--,0-0,0-0,0-0,15,91,47,2011,13
45,46,S Florida,--,0-0,0-0,0-0,7,70,48,2011,13
46,47,Northwestern,--,0-0,0-0,0-0,8,80,49,2011,13
47,48,W Virginia,--,0-0,0-0,0-0,1,81,50,2011,13
48,49,California,--,0-0,0-0,0-0,23,97,65,2011,13
49,50,Navy,--,0-0,0-0,0-0,10,107,46,2011,13
50,51,Iowa State,--,0-0,0-0,0-0,25,111,52,2011,13
51,52,San Diego St,--,0-0,0-0,0-0,41,109,54,2011,13
52,53,N Carolina,--,0-0,0-0,0-0,29,104,58,2011,13
53,54,Iowa,--,0-0,0-0,0-0,25,89,73,2011,13
54,55,Arizona,--,0-0,0-0,0-0,17,96,69,2011,13
55,56,Vanderbilt,--,0-0,0-0,0-0,37,73,53,2011,13
56,57,Washington,--,0-0,0-0,0-0,20,98,51,2011,13
57,58,Pittsburgh,--,0-0,0-0,0-0,31,118,59,2011,13
58,59,Fresno St,--,0-0,0-0,0-0,43,96,57,2011,13
59,60,Utah State,--,0-0,0-0,0-0,10,106,56,2011,13
60,61,Arkansas St,--,0-0,0-0,0-0,59,113,72,2011,13
61,62,UCLA,--,0-0,0-0,0-0,14,99,63,2011,13
62,63,S Methodist,--,0-0,0-0,0-0,7,107,55,2011,13
63,64,Nevada,--,0-0,0-0,0-0,23,109,60,2011,13
64,65,Wake Forest,--,0-0,0-0,0-0,46,116,67,2011,13
65,66,Boston Col,--,0-0,0-0,0-0,50,106,77,2011,13
66,67,LA Lafayette,--,0-0,0-0,0-0,17,116,66,2011,13
67,68,Ohio,--,0-0,0-0,0-0,16,109,64,2011,13
68,69,Auburn,--,0-0,0-0,0-0,12,73,61,2011,13
69,70,Baylor,--,0-0,0-0,0-0,5,70,68,2011,13
70,71,Connecticut,--,0-0,0-0,0-0,40,76,70,2011,13
71,72,W Michigan,--,0-0,0-0,0-0,47,106,74,2011,13
72,73,Miami (OH),--,0-0,0-0,0-0,15,104,71,2011,13
73,74,Florida Intl,--,0-0,0-0,0-0,7,117,82,2011,13
74,75,NC State,--,0-0,0-0,0-0,18,88,75,2011,13
75,76,TX El Paso,--,0-0,0-0,0-0,60,107,76,2011,13
76,77,Duke,--,0-0,0-0,0-0,55,93,83,2011,13
77,78,Purdue,--,0-0,0-0,0-0,23,89,80,2011,13
78,79,Maryland,--,0-0,0-0,0-0,32,83,62,2011,13
79,80,Hawaii,--,0-0,0-0,0-0,36,104,79,2011,13
80,81,San Jose St,--,0-0,0-0,0-0,61,115,84,2011,13
81,82,Tennessee,--,0-0,0-0,0-0,23,84,78,2011,13
82,83,Central FL,--,0-0,0-0,0-0,22,90,81,2011,13
83,84,Wyoming,--,0-0,0-0,0-0,62,115,85,2011,13
84,85,LA Monroe,--,0-0,0-0,0-0,62,109,86,2011,13
85,86,Syracuse,--,0-0,0-0,0-0,8,95,88,2011,13
86,87,Minnesota,--,0-0,0-0,0-0,9,104,90,2011,13
87,88,Troy,--,0-0,0-0,0-0,70,104,87,2011,13
