,Rank,Team,2012,Last 3,Last 1,Home,Away,2011,Season,Week
0,1,Texas A&M,0.0,0.0,0.0,0.0,0.0,1.8,2012,6
1,2,W Virginia,0.3,0.3,0.0,0.3,--,1.8,2012,6
2,3,TX-San Ant,0.5,0.5,0.0,--,0.5,--,2012,6
3,3,Ohio,0.5,0.7,0.0,1.0,0.3,1.8,2012,6
4,3,Texas,0.5,0.3,1.0,0.5,0.5,2.0,2012,6
5,3,Toledo,0.5,0.3,0.0,1.0,0.3,1.2,2012,6
6,3,Florida,0.5,0.3,1.0,1.0,0.0,2.2,2012,6
7,8,Alabama,0.6,0.7,1.0,0.7,0.5,1.0,2012,6
8,9,Miss State,0.7,0.7,1.0,1.0,0.0,1.6,2012,6
9,9,Indiana,0.7,0.7,1.0,0.0,1.0,1.5,2012,6
10,9,Rutgers,0.7,0.7,0.0,--,0.7,2.3,2012,6
11,12,Iowa,0.8,1.0,0.0,1.0,0.0,1.4,2012,6
12,13,Ball State,0.8,0.3,1.0,0.5,1.0,1.5,2012,6
13,13,Penn State,0.8,0.3,0.0,1.3,0.0,2.1,2012,6
14,15,Notre Dame,1.0,1.0,2.0,1.5,0.5,2.2,2012,6
15,15,Cincinnati,1.0,1.0,2.0,0.0,2.0,1.8,2012,6
16,15,LA Lafayette,1.0,1.0,2.0,2.0,0.5,1.8,2012,6
17,15,North Texas,1.0,0.7,1.0,0.0,1.3,1.4,2012,6
18,15,Oregon St,1.0,1.0,1.0,0.0,1.5,2.6,2012,6
19,15,LA Tech,1.0,1.3,0.0,1.0,1.0,1.5,2012,6
20,15,Baylor,1.0,1.0,1.0,0.0,1.5,1.9,2012,6
21,15,Clemson,1.0,1.0,2.0,0.0,1.3,1.6,2012,6
22,15,Air Force,1.0,1.0,2.0,2.0,0.5,1.9,2012,6
23,15,Kent State,1.0,1.0,1.0,1.0,1.0,1.6,2012,6
24,15,Florida St,1.0,1.0,0.0,1.5,0.0,1.5,2012,6
25,15,Kansas St,1.0,1.0,0.0,1.5,0.0,0.8,2012,6
26,15,Miami (OH),1.0,0.3,0.0,1.0,1.0,1.8,2012,6
27,15,Washington,1.0,1.0,1.0,1.0,1.0,1.8,2012,6
28,29,U Mass,1.2,1.7,1.0,0.5,1.7,4.0,2012,6
29,29,TX El Paso,1.2,1.7,4.0,0.0,2.0,2.1,2012,6
30,31,Wake Forest,1.3,1.3,4.0,1.7,0.0,0.9,2012,6
31,31,LSU,1.3,1.3,2.0,1.0,2.0,0.7,2012,6
32,31,N Illinois,1.3,1.3,0.0,0.5,2.0,1.3,2012,6
33,31,Louisville,1.3,1.7,2.0,0.5,2.0,1.5,2012,6
34,31,Stanford,1.3,1.7,2.0,1.0,2.0,1.3,2012,6
35,31,Nevada,1.3,1.3,1.0,3.0,0.7,1.9,2012,6
36,37,Texas Tech,1.3,1.3,2.0,1.0,1.5,1.5,2012,6
37,37,Utah,1.3,1.3,3.0,0.0,2.0,1.9,2012,6
38,37,Memphis,1.3,1.3,0.0,4.0,0.0,1.5,2012,6
39,37,Vanderbilt,1.3,1.3,1.0,1.0,1.5,2.3,2012,6
40,37,Texas State,1.3,1.3,1.0,1.5,1.0,3.5,2012,6
41,37,Army,1.3,1.3,1.0,0.0,2.0,2.2,2012,6
42,43,Ohio State,1.4,1.3,3.0,1.0,3.0,1.2,2012,6
43,43,Michigan St,1.4,0.7,0.0,1.5,1.0,1.3,2012,6
44,45,Colorado St,1.5,1.7,3.0,0.0,2.0,2.1,2012,6
45,45,UNLV,1.5,1.0,1.0,1.7,1.0,1.1,2012,6
46,45,S Mississippi,1.5,1.7,1.0,2.0,1.0,2.2,2012,6
47,45,New Mexico,1.5,1.3,3.0,3.0,1.0,1.8,2012,6
48,45,Arizona St,1.5,1.3,0.0,1.0,2.0,1.8,2012,6
49,45,LA Monroe,1.5,1.7,2.0,3.0,1.0,1.4,2012,6
50,45,California,1.5,1.3,1.0,1.5,1.5,1.9,2012,6
51,45,Oklahoma,1.5,1.5,3.0,3.0,0.0,2.2,2012,6
52,45,Missouri,1.5,1.0,1.0,2.0,1.0,1.4,2012,6
53,45,Pittsburgh,1.5,1.5,1.0,1.0,2.0,1.7,2012,6
54,45,Temple,1.5,1.5,0.0,3.0,0.0,1.0,2012,6
55,45,Wisconsin,1.5,1.3,1.0,1.5,1.5,0.7,2012,6
56,45,Northwestern,1.5,1.7,3.0,1.7,1.0,1.4,2012,6
57,45,GA Tech,1.5,1.7,4.0,1.7,1.0,1.4,2012,6
58,45,Boise State,1.5,1.3,2.0,1.0,2.0,1.4,2012,6
59,45,San Jose St,1.5,1.3,1.0,1.0,1.7,2.7,2012,6
60,45,N Carolina,1.5,1.3,2.0,1.0,2.0,2.1,2012,6
61,62,Rice,1.6,1.0,1.0,1.0,2.0,1.6,2012,6
62,62,Florida Intl,1.6,1.3,2.0,1.5,1.7,1.2,2012,6
63,62,S Carolina,1.6,1.7,1.0,1.7,1.5,2.2,2012,6
64,65,Purdue,1.7,1.7,1.0,1.5,2.0,1.6,2012,6
65,65,Central Mich,1.7,1.7,2.0,3.0,1.0,1.9,2012,6
66,65,E Michigan,1.7,1.7,1.0,--,1.7,1.4,2012,6
67,65,Kansas,1.7,1.7,0.0,2.5,0.0,2.1,2012,6
68,65,Middle Tenn,1.7,1.7,2.0,2.0,1.5,2.3,2012,6
