,Rank,Team,2015,Last 3,Last 1,Home,Away,2014,Season,Week
0,1,W Virginia,3.2,1.7,0.0,4.7,1.0,1.2,2015,9
1,2,California,2.8,2.7,1.0,3.0,2.8,1.4,2015,9
2,2,Utah State,2.8,3.7,0.0,5.5,1.5,2.0,2015,9
3,2,Houston,2.8,2.3,4.0,3.5,2.5,2.0,2015,9
4,5,Utah,2.7,2.7,0.0,3.5,1.7,1.8,2015,9
5,6,Oklahoma St,2.7,2.3,2.0,3.3,2.0,1.2,2015,9
6,6,Baylor,2.7,2.7,4.0,2.3,3.0,2.1,2015,9
7,8,Marshall,2.6,2.3,1.0,3.5,1.3,1.5,2015,9
8,9,Iowa,2.5,3.0,3.0,2.3,2.7,1.2,2015,9
9,9,Charlotte,2.5,1.7,2.0,2.7,2.3,--,2015,9
10,9,App State,2.5,2.0,2.0,2.5,2.5,1.3,2015,9
11,12,Boise State,2.4,1.7,1.0,2.0,2.8,2.2,2015,9
12,13,W Kentucky,2.4,1.3,0.0,2.7,2.2,1.8,2015,9
13,14,Clemson,2.3,1.3,3.0,2.3,2.5,1.9,2015,9
14,14,Arkansas St,2.3,3.3,2.0,2.7,2.0,2.2,2015,9
15,14,Miami (FL),2.3,1.7,1.0,2.7,2.0,1.8,2015,9
16,17,Navy,2.2,2.7,3.0,3.0,1.0,1.4,2015,9
17,18,Temple,2.1,2.0,2.0,1.7,2.5,2.4,2015,9
18,18,Mississippi,2.1,2.0,3.0,2.3,2.0,2.5,2015,9
19,18,Fla Atlantic,2.1,1.0,1.0,0.8,4.0,1.3,2015,9
20,18,Middle Tenn,2.1,1.0,0.0,3.7,1.0,1.5,2015,9
21,22,Penn State,2.1,2.0,5.0,2.2,2.0,1.6,2015,9
22,22,Alabama,2.1,2.0,1.0,1.6,3.0,1.5,2015,9
23,24,Wash State,2.0,1.7,1.0,2.0,2.0,0.5,2015,9
24,24,Oklahoma,2.0,2.3,4.0,2.5,1.3,1.5,2015,9
25,24,Florida,2.0,2.3,1.0,2.3,1.7,2.6,2015,9
26,24,USC,2.0,2.0,4.0,1.8,2.5,1.8,2015,9
27,28,Nevada,1.9,2.0,4.0,2.0,1.7,2.1,2015,9
28,28,Connecticut,1.9,2.3,1.0,1.0,2.5,1.4,2015,9
29,28,Texas A&M,1.9,2.3,4.0,1.3,2.7,0.9,2015,9
30,28,BYU,1.9,1.7,0.0,2.0,1.7,1.9,2015,9
31,28,Texas Tech,1.9,2.7,2.0,1.7,2.0,1.4,2015,9
32,28,Ohio,1.9,1.3,0.0,2.7,1.3,1.7,2015,9
33,28,TX-San Ant,1.9,3.7,4.0,0.7,2.8,1.5,2015,9
34,28,Kent State,1.9,0.7,0.0,2.3,1.5,1.5,2015,9
35,36,Kansas,1.8,1.0,0.0,2.0,1.7,1.6,2015,9
36,36,Maryland,1.8,2.0,3.0,2.0,1.7,1.6,2015,9
37,36,S Florida,1.8,2.7,4.0,2.3,1.3,1.6,2015,9
38,36,Tulane,1.8,1.0,0.0,2.7,1.0,2.4,2015,9
39,36,Oregon,1.8,2.0,1.0,2.0,1.7,2.4,2015,9
40,41,N Carolina,1.8,2.7,5.0,2.3,1.0,1.4,2015,9
41,42,Bowling Grn,1.8,2.7,2.0,2.0,1.6,2.3,2015,9
42,42,Michigan St,1.8,1.0,2.0,2.2,1.0,2.6,2015,9
43,44,N Mex State,1.7,1.3,0.0,1.7,1.8,1.7,2015,9
44,44,Indiana,1.7,1.0,1.0,2.3,1.0,1.5,2015,9
45,44,Toledo,1.7,1.3,1.0,2.3,1.0,1.1,2015,9
46,44,Ball State,1.7,1.3,2.0,1.7,1.8,2.4,2015,9
47,44,S Carolina,1.7,1.7,5.0,2.0,1.3,1.3,2015,9
48,44,Texas,1.7,0.7,1.0,2.8,0.3,1.7,2015,9
49,44,N Illinois,1.7,1.3,1.0,1.0,2.3,1.6,2015,9
50,51,Washington,1.7,1.3,1.0,1.3,2.0,2.1,2015,9
51,51,Buffalo,1.7,1.7,4.0,1.3,2.0,1.3,2015,9
52,51,Boston Col,1.7,2.7,4.0,1.3,2.0,1.2,2015,9
53,51,Pittsburgh,1.7,1.7,2.0,1.0,1.8,0.9,2015,9
54,51,Akron,1.7,1.3,0.0,0.5,2.3,2.1,2015,9
55,51,GA Southern,1.7,1.3,0.0,2.5,1.3,1.5,2015,9
56,51,Illinois,1.7,1.3,2.0,2.3,0.5,1.6,2015,9
57,51,Georgia,1.7,1.7,1.0,1.3,2.5,2.3,2015,9
58,51,S Methodist,1.7,1.3,1.0,2.3,1.0,1.3,2015,9
59,51,Old Dominion,1.7,2.0,1.0,1.3,2.0,1.4,2015,9
60,61,Ohio State,1.6,1.3,1.0,2.0,1.0,2.2,2015,9
61,62,Georgia State,1.6,1.0,1.0,2.5,1.0,0.6,2015,9
62,63,GA Tech,1.6,1.3,1.0,0.8,2.7,2.2,2015,9
63,63,Colorado,1.6,1.3,1.0,1.7,1.5,0.9,2015,9
64,63,Central Mich,1.6,2.0,1.0,2.7,0.8,1.5,2015,9
65,63,New Mexico,1.6,1.3,0.0,2.0,1.3,1.6,2015,9
