,Rank,Team,2016,Last 3,Last 1,Home,Away,2015,Season,Week
0,1,Louisville,50.0,36.7,32.0,52.8,47.3,27.3,2016,10
1,2,Washington,46.9,47.3,31.0,48.0,45.3,29.1,2016,10
2,3,Michigan,46.6,50.3,32.0,43.8,55.0,31.4,2016,10
3,4,Oklahoma,45.4,53.3,56.0,44.3,46.5,43.5,2016,10
4,5,Texas Tech,44.3,34.3,27.0,47.5,40.0,43.9,2016,10
5,6,Alabama,43.9,43.7,33.0,38.3,49.5,33.6,2016,10
6,7,LA Tech,42.9,53.7,61.0,48.0,39.8,35.5,2016,10
7,8,Ohio State,42.6,25.0,24.0,49.0,32.0,35.7,2016,10
8,9,S Florida,41.9,41.3,52.0,43.0,40.0,32.2,2016,10
9,10,California,41.3,40.0,24.0,43.3,40.0,35.0,2016,10
10,11,W Michigan,40.7,43.7,45.0,46.3,36.5,34.7,2016,10
11,12,W Kentucky,40.5,51.7,52.0,45.0,37.8,44.3,2016,10
12,13,Baylor,40.2,42.7,34.0,41.3,39.0,46.6,2016,10
13,14,Tulsa,39.9,46.7,59.0,46.0,35.3,37.2,2016,10
14,15,Pittsburgh,39.6,39.3,36.0,39.5,39.7,26.8,2016,10
15,16,Wash State,39.4,33.0,35.0,44.7,35.5,32.7,2016,10
16,17,Oregon,38.7,41.3,54.0,39.3,38.0,41.5,2016,10
17,18,Toledo,38.6,33.0,26.0,37.8,39.7,35.0,2016,10
18,19,Middle Tenn,38.4,45.3,42.0,40.5,37.6,31.0,2016,10
19,20,Houston,38.0,28.3,31.0,37.0,38.6,39.5,2016,10
20,21,Oklahoma St,37.7,39.7,37.0,39.2,34.0,40.2,2016,10
21,21,Memphis,37.7,27.3,30.0,46.0,26.7,38.3,2016,10
22,23,New Mexico,37.1,44.0,28.0,42.7,33.0,26.9,2016,10
23,24,VA Tech,36.3,31.0,39.0,46.7,28.5,30.1,2016,10
24,25,Auburn,36.3,44.7,40.0,35.3,39.0,27.5,2016,10
25,26,Texas,36.0,27.7,35.0,38.3,33.8,26.4,2016,10
26,27,Mississippi,35.7,26.7,29.0,41.3,28.3,37.9,2016,10
27,28,Arizona St,34.6,27.7,35.0,43.5,25.8,34.6,2016,10
28,29,Troy,34.3,31.0,28.0,41.5,30.8,26.5,2016,10
29,30,Texas A&M,34.3,37.0,52.0,42.7,28.0,26.7,2016,10
30,31,San Diego St,33.7,33.0,40.0,37.7,30.8,31.8,2016,10
31,32,Penn State,33.6,41.3,62.0,31.6,37.0,23.2,2016,10
32,33,Boise State,33.5,28.0,28.0,27.0,40.0,38.0,2016,10
33,34,Clemson,33.4,39.0,37.0,32.0,34.5,37.7,2016,10
34,35,Temple,33.3,35.3,34.0,37.2,26.7,29.8,2016,10
35,36,Navy,32.7,44.3,45.0,38.7,26.7,35.8,2016,10
36,37,Air Force,32.4,32.7,31.0,34.3,31.0,31.5,2016,10
37,37,Colorado,32.4,22.3,10.0,43.5,28.0,22.7,2016,10
38,39,Wyoming,32.3,35.7,30.0,35.0,30.3,19.5,2016,10
39,39,Florida St,32.3,23.7,34.0,28.7,35.0,30.0,2016,10
40,41,Nebraska,32.0,23.7,17.0,37.6,22.7,32.8,2016,10
41,42,S Mississippi,31.3,22.0,24.0,33.0,30.0,39.0,2016,10
42,43,TX Christian,30.9,19.3,24.0,37.3,22.3,39.8,2016,10
43,44,USC,30.4,38.0,45.0,38.0,22.8,33.9,2016,10
44,45,N Illinois,30.3,34.0,44.0,33.3,28.0,29.2,2016,10
45,46,Notre Dame,30.3,14.3,30.0,28.4,33.3,34.2,2016,10
46,47,Central FL,30.1,24.3,24.0,24.5,32.4,13.8,2016,10
47,48,TX-San Ant,30.0,31.3,31.0,40.8,15.7,22.6,2016,10
48,48,W Virginia,30.0,34.0,20.0,25.7,34.3,33.4,2016,10
49,50,Utah,29.9,31.7,24.0,27.8,32.0,30.6,2016,10
50,51,Maryland,29.9,24.7,36.0,29.3,30.3,22.4,2016,10
51,52,Kansas St,29.7,24.0,31.0,43.7,19.3,29.6,2016,10
