,Rank,Team,2016,Last 3,Last 1,Home,Away,2015,Season,Week
0,1,Louisville,558.8,454.7,561.0,544.5,573.0,404.2,2016,14
1,2,Oklahoma,550.9,505.0,485.0,529.0,569.2,530.2,2016,14
2,3,Texas Tech,549.2,496.7,666.0,600.4,506.5,576.8,2016,14
3,4,Baylor,534.2,502.0,634.0,459.0,609.4,602.7,2016,14
4,5,Toledo,531.0,460.0,456.0,525.6,535.5,463.1,2016,14
5,6,Tulsa,525.9,553.7,611.0,573.4,486.3,507.4,2016,14
6,7,S Florida,521.5,551.7,503.0,554.2,482.4,433.2,2016,14
7,8,California,513.2,501.3,496.0,474.3,552.0,518.2,2016,14
8,9,Oklahoma St,510.7,594.3,541.0,492.5,538.0,471.8,2016,14
9,10,Clemson,504.8,569.3,622.0,540.3,462.2,513.7,2016,14
10,11,W Virginia,503.7,525.0,613.0,497.8,509.6,479.3,2016,14
11,12,W Kentucky,503.2,504.7,462.0,564.2,452.3,526.9,2016,14
12,13,Middle Tenn,499.6,503.7,757.0,571.0,458.9,448.1,2016,14
13,14,LA Tech,498.0,402.0,254.0,539.0,474.6,474.3,2016,14
14,15,Wash State,497.3,483.3,334.0,519.7,470.4,474.5,2016,14
15,16,W Michigan,494.5,494.3,445.0,522.4,471.2,479.3,2016,14
16,17,Alabama,493.0,479.7,501.0,505.3,478.2,428.8,2016,14
17,18,Texas,492.2,448.7,407.0,488.2,496.2,370.8,2016,14
18,19,Washington,492.1,441.7,510.0,436.7,558.6,391.3,2016,14
19,20,Oregon,488.9,486.3,384.0,556.6,432.5,522.2,2016,14
20,21,Missouri,482.5,540.0,399.0,502.2,459.0,268.5,2016,14
21,22,Boise State,479.8,461.0,400.0,452.7,507.0,493.9,2016,14
22,23,Ohio State,479.5,407.0,330.0,513.7,431.6,434.6,2016,14
23,24,Florida St,477.6,485.7,387.0,457.8,494.2,423.7,2016,14
24,25,TX Christian,475.8,506.0,487.0,465.6,486.0,557.5,2016,14
25,26,Mississippi,469.2,460.3,528.0,533.3,392.2,506.5,2016,14
26,27,USC,468.2,446.3,412.0,517.3,419.0,437.9,2016,14
27,28,Memphis,466.9,498.0,555.0,504.5,421.8,484.4,2016,14
28,29,Pittsburgh,464.5,523.0,644.0,489.0,435.0,370.8,2016,14
29,30,S Mississippi,462.2,419.3,426.0,504.2,427.2,509.2,2016,14
30,31,Navy,462.0,564.7,600.0,445.0,473.3,424.1,2016,14
31,32,Colorado,458.4,456.3,378.0,485.6,435.7,377.6,2016,14
32,33,New Mexico,457.1,486.3,690.0,539.4,388.5,377.9,2016,14
33,34,N Illinois,456.5,466.3,473.0,426.3,473.7,379.7,2016,14
34,35,Houston,454.5,424.3,624.0,421.8,481.7,474.8,2016,14
35,36,VA Tech,453.0,478.3,579.0,495.4,417.7,368.7,2016,14
36,37,E Michigan,451.6,545.0,538.0,438.2,462.8,378.8,2016,14
37,38,Ball State,450.8,456.7,435.0,477.3,435.7,353.8,2016,14
38,39,Texas A&M,449.5,415.0,472.0,465.7,430.2,411.5,2016,14
39,40,E Carolina,447.0,368.3,225.0,455.2,440.2,413.5,2016,14
40,41,Wyoming,445.2,473.7,449.0,470.8,423.8,363.5,2016,14
41,42,Colorado St,440.3,547.3,507.0,468.6,416.7,411.5,2016,14
42,43,Michigan,439.3,265.0,310.0,465.6,386.8,395.8,2016,14
43,44,Air Force,437.8,461.3,359.0,452.6,425.5,446.3,2016,14
44,45,Auburn,435.7,244.0,182.0,494.4,333.0,367.4,2016,14
45,46,Tennessee,434.2,574.7,516.0,432.0,436.8,420.7,2016,14
46,47,Penn State,433.3,473.7,463.0,447.6,413.2,348.4,2016,14
47,48,Indiana,433.1,326.0,269.0,458.1,398.0,496.8,2016,14
48,49,Kentucky,433.0,508.0,581.0,442.5,421.6,370.9,2016,14
49,50,Iowa State,432.0,542.3,561.0,486.7,366.4,417.3,2016,14
50,51,N Carolina,431.8,484.0,413.0,412.8,444.5,482.2,2016,14
51,52,LSU,431.3,530.7,622.0,424.8,441.0,437.3,2016,14
52,53,Old Dominion,431.2,488.0,521.0,453.8,412.3,363.2,2016,14
53,54,App State,431.1,525.0,604.0,414.3,447.8,451.5,2016,14
54,55,Syracuse,430.6,373.0,668.0,395.0,460.3,310.3,2016,14
55,56,Temple,429.8,459.3,414.0,424.2,436.6,367.1,2016,14
56,57,Miss State,429.0,457.7,566.0,452.6,409.3,444.9,2016,14
57,58,Arkansas,427.1,485.7,503.0,403.8,455.0,456.3,2016,14
58,59,Utah,426.6,429.7,339.0,420.6,431.7,362.9,2016,14
59,60,San Diego St,423.6,462.0,377.0,430.6,417.8,381.1,2016,14
60,61,Miami (FL),422.8,477.7,568.0,442.2,406.7,398.5,2016,14
61,62,Troy,421.9,356.3,391.0,403.6,440.2,358.6,2016,14
62,63,S Methodist,421.1,494.0,427.0,407.8,432.2,372.9,2016,14
63,64,Notre Dame,417.6,444.3,408.0,424.3,410.8,466.8,2016,14
64,65,Arizona,410.2,450.0,588.0,447.7,365.2,470.7,2016,14
65,66,NC State,410.1,455.0,492.0,388.5,436.0,410.3,2016,14
66,67,N Mex State,409.2,387.0,240.0,387.0,427.7,434.5,2016,14
67,68,Bowling Grn,406.2,470.7,492.0,484.8,340.7,546.8,2016,14
68,69,Northwestern,403.5,447.7,399.0,372.7,440.4,313.0,2016,14
69,70,Michigan St,398.1,372.3,343.0,363.5,439.6,385.6,2016,14
70,71,UNLV,395.5,419.3,303.0,469.6,333.7,384.5,2016,14
71,72,Ohio,394.5,350.0,301.0,424.8,369.2,409.8,2016,14
72,73,Fla Atlantic,393.4,476.0,589.0,374.4,409.2,377.8,2016,14
73,74,Idaho,391.5,427.0,407.0,437.7,371.7,419.0,2016,14
74,75,BYU,388.8,374.3,355.0,391.2,386.8,398.4,2016,14
75,76,Kansas St,388.2,429.0,441.0,422.8,353.6,333.6,2016,14
76,77,Arkansas St,387.2,454.0,521.0,395.0,379.4,423.2,2016,14
77,78,Central Mich,386.3,320.3,383.0,366.6,402.7,401.4,2016,14
78,79,Nebraska,386.2,330.7,217.0,427.4,328.4,446.9,2016,14
79,80,Arizona St,385.2,377.7,492.0,412.2,362.7,472.9,2016,14
80,81,Nevada,383.9,406.0,511.0,419.2,354.5,374.0,2016,14
81,82,GA Tech,383.5,351.3,390.0,393.2,372.0,362.2,2016,14
82,83,Hawaii,383.3,371.3,479.0,429.6,350.3,305.6,2016,14
83,84,Georgia,383.3,381.7,402.0,391.6,376.3,362.4,2016,14
84,85,Wisconsin,381.1,409.7,362.0,431.7,330.5,378.6,2016,14
85,86,Duke,380.5,376.7,395.0,366.0,392.5,421.4,2016,14
86,87,Purdue,380.3,318.0,267.0,417.2,336.0,353.0,2016,14
