,Rank,Team,Rating,Hi,Low,Last,Season,Week
0,1,Ohio State,42.7,1,24,1,2016,6
1,2,Louisville,32.2,1,38,2,2016,6
2,3,Michigan,30.7,1,56,4,2016,6
3,4,Alabama,30.6,1,29,3,2016,6
4,5,Miami (FL),24.3,4,37,6,2016,6
5,6,Houston,24.0,5,74,5,2016,6
6,7,Texas A&M,23.1,6,63,7,2016,6
7,8,Clemson,22.0,1,34,9,2016,6
8,9,Washington,21.9,1,48,15,2016,6
9,10,W Michigan,19.3,8,92,23,2016,6
10,11,Wisconsin,18.3,4,25,12,2016,6
11,12,Colorado,18.1,2,60,11,2016,6
12,13,Mississippi,15.9,9,84,19,2016,6
13,14,Auburn,15.6,3,51,27,2016,6
14,15,VA Tech,15.4,7,84,13,2016,6
15,16,Memphis,13.4,10,93,10,2016,6
16,17,Oklahoma,13.4,2,59,26,2016,6
17,18,Kansas St,12.7,8,56,14,2016,6
18,19,Tennessee,12.7,7,49,24,2016,6
19,20,Nebraska,12.6,9,78,20,2016,6
20,21,S Florida,12.4,10,61,30,2016,6
21,22,Stanford,12.3,5,52,8,2016,6
22,23,LSU,12.3,4,57,44,2016,6
23,24,Florida St,12.2,5,64,17,2016,6
24,25,Maryland,11.6,25,106,38,2016,6
25,26,Toledo,11.3,3,96,22,2016,6
26,27,Troy,11.2,14,90,25,2016,6
27,28,Baylor,11.2,6,116,16,2016,6
28,29,UCLA,10.7,10,77,29,2016,6
29,30,Boise State,10.4,8,81,21,2016,6
30,31,Florida,10.3,14,82,28,2016,6
31,32,N Carolina,8.2,18,52,42,2016,6
32,33,Oklahoma St,7.8,13,64,32,2016,6
33,34,Wash State,7.7,8,119,51,2016,6
34,35,Texas Tech,7.3,17,78,37,2016,6
35,36,Missouri,7.3,16,104,18,2016,6
36,37,USC,7.2,1,103,36,2016,6
37,38,TX Christian,6.1,33,89,33,2016,6
38,39,W Virginia,5.9,16,56,31,2016,6
39,40,Central FL,5.9,27,104,58,2016,6
40,41,NC State,5.9,11,69,52,2016,6
41,42,Air Force,5.9,39,109,48,2016,6
42,43,Army,5.8,4,103,34,2016,6
43,44,Arkansas,5.3,29,80,43,2016,6
44,45,GA Tech,4.9,19,71,35,2016,6
45,46,BYU,4.8,8,47,39,2016,6
46,47,Pittsburgh,3.7,18,85,56,2016,6
47,48,Oregon,3.0,23,85,40,2016,6
48,49,S Mississippi,2.9,34,119,41,2016,6
49,50,Utah,2.7,21,119,53,2016,6
50,51,W Kentucky,2.6,2,91,59,2016,6
51,52,Tulsa,2.2,10,90,55,2016,6
52,53,Notre Dame,2.0,15,70,57,2016,6
53,54,California,2.0,1,87,54,2016,6
54,55,Miss State,1.8,48,102,65,2016,6
55,56,Georgia,1.2,11,67,62,2016,6
56,57,Texas,1.2,18,77,46,2016,6
57,58,Arizona St,0.9,38,90,50,2016,6
58,59,Iowa,0.4,16,74,47,2016,6
59,60,App State,0.0,3,77,64,2016,6
60,61,Northwestern,0.0,20,102,77,2016,6
61,62,Penn State,-0.6,3,67,63,2016,6
62,63,GA Southern,-0.6,3,111,70,2016,6
63,64,Vanderbilt,-0.8,28,116,66,2016,6
64,65,Middle Tenn,-0.8,16,126,68,2016,6
65,66,S Carolina,-1.3,5,92,72,2016,6
66,67,Michigan St,-1.7,27,116,71,2016,6
67,68,Indiana,-2.0,8,78,73,2016,6
68,69,Wake Forest,-2.1,48,122,60,2016,6
69,70,Central Mich,-2.2,6,118,45,2016,6
