,Rank,Team,2019,Last 3,Last 1,Home,Away,2018,Season,Week
0,1,Wisconsin,182.0,226.0,124.0,188.3,157.0,344.2,2019,7
1,2,Ohio State,234.7,216.7,287.0,230.0,244.0,404.0,2019,7
2,3,Iowa,255.0,301.7,271.0,195.3,344.5,299.1,2019,7
3,4,Clemson,255.2,231.0,290.0,266.3,238.5,295.2,2019,7
4,5,Missouri,260.5,217.7,211.0,217.7,389.0,397.8,2019,7
5,6,Penn State,264.3,209.3,104.0,309.7,128.0,350.5,2019,7
6,7,Oregon,266.3,227.3,256.0,224.0,308.5,402.0,2019,7
7,8,W Kentucky,272.5,291.0,160.0,298.0,264.0,431.4,2019,7
8,9,Georgia,277.3,294.7,343.0,270.5,284.0,326.8,2019,7
9,10,UAB,277.5,239.0,305.0,247.5,307.5,308.5,2019,7
10,11,Michigan,289.2,300.7,261.0,239.8,487.0,275.2,2019,7
11,12,LSU,292.5,357.3,168.0,133.0,452.0,345.8,2019,7
12,13,Navy,293.3,293.3,357.0,289.5,301.0,434.5,2019,7
13,14,San Diego St,300.0,313.0,235.0,375.0,275.0,343.0,2019,7
14,15,Michigan St,300.2,384.3,529.0,251.5,397.5,303.2,2019,7
15,16,Minnesota,301.3,286.7,248.0,223.0,379.5,385.8,2019,7
16,16,Virginia,301.3,314.0,343.0,299.5,303.0,339.3,2019,7
17,16,TX Christian,301.3,333.7,436.0,282.5,320.0,351.0,2019,7
18,19,Florida,305.8,305.0,269.0,254.0,357.5,359.2,2019,7
19,20,Temple,313.3,304.3,327.0,323.5,303.0,369.8,2019,7
20,21,Baylor,313.5,329.3,341.0,335.5,291.5,421.5,2019,7
21,22,Old Dominion,319.0,291.0,320.0,314.5,323.5,488.1,2019,7
22,23,Miami (FL),320.0,324.7,337.0,292.5,347.5,295.3,2019,7
23,23,Northwestern,320.0,301.7,319.0,335.0,310.0,390.9,2019,7
24,25,Boise State,321.0,286.0,331.0,263.5,378.5,355.9,2019,7
25,26,Cincinnati,322.4,295.3,423.0,282.7,382.0,314.0,2019,7
26,27,Utah,324.0,332.0,313.0,307.5,340.5,336.3,2019,7
27,28,Pittsburgh,324.4,366.7,288.0,315.0,338.5,393.5,2019,7
28,29,Alabama,325.6,387.3,477.0,321.7,331.5,323.5,2019,7
29,30,Texas A&M,326.3,362.0,396.0,260.0,392.5,356.5,2019,7
30,31,Arizona St,331.0,374.7,245.0,337.5,324.5,406.3,2019,7
31,32,Buffalo,331.2,298.3,341.0,315.0,342.0,361.5,2019,7
32,33,Notre Dame,332.4,302.3,228.0,309.7,366.5,347.4,2019,7
33,34,Coastal Car,332.5,346.3,430.0,291.0,346.3,467.7,2019,7
34,35,Auburn,333.2,374.3,398.0,292.7,373.7,368.6,2019,7
35,36,Army,342.0,375.0,525.0,384.0,300.0,311.7,2019,7
36,37,Memphis,342.3,398.7,575.0,273.0,411.5,447.7,2019,7
37,38,Oklahoma,348.3,328.3,360.0,361.0,335.5,453.8,2019,7
38,39,Air Force,358.8,370.0,377.0,378.0,352.3,386.9,2019,7
39,40,Kansas St,361.0,434.7,426.0,283.0,439.0,410.1,2019,7
40,41,North Texas,361.5,314.3,370.0,332.5,390.5,381.2,2019,7
