,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Toledo,0.4,0.0,0.0,0.3,0.5,2.0
1,2,Mississippi,0.6,0.7,1.0,0.3,0.8,1.8
2,2,Coastal Car,0.6,0.3,1.0,0.8,0.3,1.1
3,2,NC State,0.6,0.0,0.0,0.3,1.0,1.6
4,5,Kent State,0.7,0.3,0.0,0.0,1.0,1.0
5,5,Arkansas,0.7,1.0,1.0,0.8,0.7,1.3
6,5,California,0.7,0.0,0.0,0.5,1.0,1.3
7,5,LA Lafayette,0.7,1.0,0.0,0.7,0.8,1.2
8,5,VA Tech,0.7,0.3,0.0,1.0,0.0,1.3
9,5,Colorado St,0.7,0.7,0.0,0.3,1.0,1.0
10,11,Ohio State,0.8,0.3,1.0,1.0,0.3,1.1
11,11,Michigan,0.8,1.7,2.0,0.4,1.3,1.0
12,13,BYU,0.8,0.3,0.0,1.2,0.3,0.8
13,14,Army,0.9,1.7,2.0,0.8,1.0,1.3
14,14,Rutgers,0.9,0.7,0.0,1.3,0.5,1.6
15,14,Oklahoma St,0.9,0.3,0.0,1.0,0.7,1.5
16,14,Wake Forest,0.9,0.7,1.0,1.3,0.3,0.9
17,14,W Michigan,0.9,2.0,2.0,1.3,0.5,1.0
18,14,Alabama,0.9,1.0,1.0,1.0,0.8,0.9
19,14,Auburn,0.9,1.3,2.0,1.0,0.7,0.8
20,14,Air Force,0.9,1.3,2.0,1.3,0.3,1.3
21,14,Colorado,0.9,0.3,0.0,1.3,0.5,1.8
22,14,Miami (OH),0.9,0.7,0.0,1.0,0.8,0.7
23,24,Navy,0.9,0.3,0.0,1.2,0.3,1.1
24,24,Syracuse,0.9,0.7,1.0,1.2,0.3,1.9
25,26,Minnesota,1.0,1.0,1.0,1.4,0.3,1.0
26,26,Illinois,1.0,1.0,0.0,0.7,1.7,1.1
27,26,Iowa State,1.0,0.3,1.0,1.3,0.8,1.2
28,26,Tennessee,1.0,0.7,1.0,1.5,0.3,1.5
29,26,Nevada,1.0,1.3,2.0,1.0,1.0,1.0
30,26,TX-San Ant,1.0,0.7,0.0,1.0,1.0,0.9
31,26,Buffalo,1.0,1.3,2.0,1.0,1.0,0.9
32,26,UCLA,1.0,1.3,1.0,1.2,0.8,1.9
33,26,Baylor,1.0,1.0,2.0,1.0,1.0,1.0
34,26,Houston,1.0,0.7,1.0,0.7,1.3,2.0
35,26,Oklahoma,1.0,0.7,0.0,0.8,1.3,1.3
36,37,Texas,1.1,1.7,2.0,1.0,1.3,0.9
37,38,Missouri,1.1,1.0,1.0,1.0,1.3,1.4
38,38,Utah,1.1,0.7,0.0,1.7,0.8,2.6
39,38,Kansas St,1.1,1.3,1.0,0.8,1.7,1.5
40,38,E Michigan,1.1,1.3,1.0,1.0,1.3,2.0
41,38,N Illinois,1.1,0.7,0.0,1.7,0.8,1.7
42,38,Ball State,1.1,0.7,2.0,1.0,1.3,1.1
43,38,GA Tech,1.1,1.7,2.0,1.7,0.8,2.5
44,38,LSU,1.1,1.3,3.0,0.7,1.5,1.3
45,38,W Kentucky,1.1,1.3,2.0,1.3,1.0,1.2
46,38,Oregon,1.1,2.0,1.0,1.0,1.3,2.3
47,38,Fla Atlantic,1.1,1.7,0.0,0.0,2.0,1.2
48,38,Clemson,1.1,1.7,3.0,1.3,1.0,1.3
49,38,Pittsburgh,1.1,1.0,2.0,2.0,0.0,1.6
50,38,Michigan St,1.1,2.0,2.0,1.0,1.3,2.9
51,52,Georgia,1.3,1.0,3.0,1.0,1.5,1.5
52,52,Notre Dame,1.3,0.7,0.0,1.2,1.3,0.9
53,52,Liberty,1.3,1.3,1.0,1.7,1.0,1.4
54,52,Boise State,1.3,0.7,0.0,2.0,0.5,1.0
55,52,Georgia State,1.3,0.3,0.0,2.0,0.5,2.0
