,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Georgia,6.6,8.7,6.0,7.8,5.0,20.0
1,2,Texas A&M,14.7,10.3,3.0,15.2,13.7,21.7
2,3,Wisconsin,15.4,7.7,3.0,16.4,14.3,17.4
3,4,Iowa,15.7,21.0,12.0,14.2,17.5,16.0
4,5,Cincinnati,15.9,17.3,20.0,14.5,17.3,16.4
5,6,Michigan,16.0,17.0,7.0,10.2,27.7,34.5
6,7,San Diego St,16.1,18.0,10.0,19.5,12.8,17.8
7,8,Oklahoma St,16.4,10.0,3.0,15.0,17.8,23.5
8,9,Penn State,16.6,22.3,14.0,13.3,20.0,27.7
9,10,NC State,17.1,19.3,14.0,15.3,19.0,29.2
10,11,Air Force,17.6,19.3,21.0,22.5,12.8,15.0
11,12,Coastal Car,17.8,22.0,8.0,14.8,20.8,20.2
12,13,Clemson,17.9,23.7,24.0,13.7,20.4,22.0
13,14,Minnesota,18.3,14.7,14.0,23.0,9.0,30.1
14,15,LA Lafayette,18.4,14.7,17.0,11.0,25.8,22.0
15,16,Purdue,18.4,27.3,29.0,21.8,14.3,29.8
16,17,Ohio State,19.0,16.0,17.0,20.6,17.0,25.8
17,18,Iowa State,19.3,22.0,7.0,15.5,23.0,21.4
18,19,Colorado St,20.0,28.3,31.0,22.0,18.8,35.8
19,19,Liberty,20.0,23.3,27.0,15.7,22.2,22.8
20,21,Marshall,20.1,11.3,13.0,18.3,21.2,14.4
21,22,Washington,20.5,18.3,26.0,19.3,21.8,25.0
22,23,Alabama,20.6,15.7,14.0,18.3,23.0,19.4
23,24,Boise State,20.9,19.0,14.0,24.8,17.8,27.1
24,25,Arizona St,21.0,28.3,16.0,16.6,28.3,23.3
25,26,Boston Col,21.1,17.3,3.0,23.3,19.8,28.4
26,27,California,21.3,12.7,10.0,17.8,24.8,26.5
27,28,Kansas St,21.4,15.3,10.0,24.8,18.0,32.2
28,29,Illinois,21.6,14.7,6.0,22.8,19.8,34.9
29,30,TX-San Ant,21.6,13.0,23.0,10.0,28.6,27.1
30,31,Wyoming,22.0,19.3,17.0,15.0,29.0,21.0
31,32,Auburn,22.3,21.0,20.0,22.0,22.5,24.7
32,32,S Alabama,22.3,28.3,31.0,13.5,31.0,27.3
33,32,Baylor,22.3,26.0,30.0,24.3,20.3,29.2
34,35,Syracuse,22.4,19.7,6.0,20.2,26.0,32.7
35,35,TX El Paso,22.4,25.0,44.0,20.3,24.5,36.8
36,37,Notre Dame,22.4,18.7,6.0,20.3,26.7,19.7
37,37,Nebraska,22.4,28.0,26.0,19.2,26.5,29.4
38,39,Fla Atlantic,23.3,20.7,28.0,20.0,26.5,17.4
39,39,VA Tech,23.3,25.0,17.0,25.0,20.3,32.1
40,41,Toledo,23.5,31.0,52.0,27.8,19.3,24.3
41,41,Kentucky,23.5,35.3,45.0,23.4,23.7,25.9
42,41,E Carolina,23.5,16.0,3.0,16.5,30.5,35.4
43,44,Michigan St,23.8,29.3,40.0,28.0,21.2,35.1
44,45,Utah,24.0,24.3,7.0,19.3,26.8,26.0
45,45,San Jose St,24.0,22.7,27.0,23.7,24.2,19.9
46,47,Fresno St,24.1,30.7,40.0,25.5,23.0,30.0
47,48,Troy,24.1,29.0,24.0,23.0,24.8,25.4
48,49,Oregon,24.4,25.3,16.0,22.3,26.5,28.3
49,50,Pittsburgh,24.6,28.0,29.0,26.5,22.8,27.0
50,51,Florida,24.7,41.0,40.0,14.8,32.6,30.8
51,52,Wash State,24.8,24.3,21.0,29.4,17.0,38.5
52,53,App State,25.0,23.0,14.0,28.3,23.0,19.9
53,53,Houston,25.0,34.3,42.0,27.0,23.8,32.0
54,55,UAB,25.1,22.7,38.0,29.5,20.8,19.8
55,56,Miss State,25.3,18.0,31.0,27.6,22.5,28.1
56,57,Central FL,25.4,8.0,10.0,16.0,34.8,33.2
57,58,BYU,25.4,35.3,49.0,27.2,23.3,15.5
58,59,Miami (OH),25.8,24.3,35.0,19.0,28.0,26.7
59,60,W Virginia,25.9,24.0,24.0,24.8,27.0,21.7
60,61,Army,26.0,34.7,14.0,34.0,18.0,15.9
61,62,Nevada,26.1,26.0,24.0,22.3,30.0,23.3
62,63,Rutgers,26.4,29.0,52.0,37.3,15.5,32.1
63,64,Arkansas,26.6,39.3,28.0,22.8,33.0,34.9
64,64,S Carolina,26.6,27.0,17.0,16.8,36.5,36.0
65,66,New Mexico,27.3,23.3,31.0,32.5,22.0,32.6
66,66,Oklahoma,27.3,25.0,21.0,23.2,34.0,23.9
67,68,Utah State,27.6,22.7,13.0,29.0,26.3,35.2
68,69,S Methodist,27.8,32.7,28.0,18.3,33.4,33.6
69,70,Florida St,27.9,20.3,28.0,26.6,30.0,37.5
70,71,Colorado,28.0,37.3,34.0,25.3,30.8,31.7
71,72,UCLA,28.2,31.7,44.0,30.6,25.3,30.7
72,73,Mississippi,28.3,20.7,14.0,25.8,30.8,38.3
73,74,Ball State,28.4,26.7,25.0,20.7,33.0,25.8
74,75,Northwestern,28.5,30.3,17.0,21.8,39.7,15.9
75,76,USC,28.9,32.0,31.0,34.0,22.5,26.0
76,77,Georgia State,29.1,17.0,21.0,28.3,29.8,31.7
77,78,Wake Forest,29.1,40.3,58.0,16.3,42.0,35.1
78,78,E Michigan,29.1,37.0,49.0,23.7,32.4,36.0
79,80,Arizona,29.5,21.7,3.0,24.0,35.0,39.8
80,81,Stanford,29.8,35.3,52.0,32.8,27.4,31.7
81,81,Texas,29.8,31.0,30.0,21.3,36.6,28.5
82,83,LSU,30.4,31.0,20.0,29.0,31.2,34.9
83,84,Navy,30.4,26.0,34.0,32.0,28.5,30.3
84,85,Middle Tenn,30.5,23.7,48.0,19.0,34.3,35.4
85,85,GA Tech,30.5,35.7,33.0,33.3,28.8,36.8
86,85,W Kentucky,30.5,17.7,21.0,29.8,31.3,26.7
87,85,Louisville,30.5,24.0,30.0,28.3,32.8,26.6
88,89,Memphis,30.6,22.0,25.0,25.5,35.8,29.3
89,90,Oregon St,31.1,36.7,37.0,28.3,32.8,33.3
90,91,Charlotte,31.4,35.7,24.0,32.3,30.5,32.5
91,92,Buffalo,31.8,30.7,56.0,33.5,30.0,21.9
92,92,Tennessee,31.8,41.7,42.0,24.5,39.0,30.1
93,92,Ohio,31.8,31.3,33.0,31.5,32.0,16.7
94,95,Hawaii,31.9,34.0,17.0,23.0,39.0,27.6
95,96,Tulsa,32.0,26.3,28.0,32.0,32.0,21.6
96,97,Old Dominion,32.1,29.0,24.0,32.7,31.8,--
97,97,Central Mich,32.1,30.7,30.0,29.7,33.6,30.2
98,99,Texas State,32.4,30.7,19.0,27.5,37.3,38.2
99,100,W Michigan,32.5,35.7,42.0,30.3,34.8,34.2
100,101,GA Southern,32.6,30.0,28.0,27.5,37.8,20.3
101,102,LA Tech,33.0,40.0,52.0,33.7,32.6,34.3
102,103,Bowling Grn,33.1,44.3,44.0,37.3,30.6,45.0
103,104,N Carolina,33.4,47.0,55.0,32.5,35.3,31.3
104,105,Indiana,33.5,40.3,29.0,37.3,31.2,20.3
105,106,North Texas,33.6,24.3,14.0,41.3,29.0,44.1
106,107,UNLV,33.8,31.7,17.0,34.3,33.4,38.0
107,108,S Mississippi,34.0,35.7,38.0,29.8,38.3,34.4
108,109,Miami (FL),34.3,31.3,30.0,30.2,41.0,27.0
109,109,Maryland,34.3,33.3,31.0,31.4,39.0,32.0
110,111,Texas Tech,34.4,30.3,52.0,32.7,35.4,37.1
111,112,TX Christian,34.6,29.3,28.0,32.6,38.0,24.2
112,112,Virginia,34.6,35.3,66.0,22.8,46.5,31.2
113,114,Rice,36.1,28.3,31.0,31.0,39.2,18.8
114,115,N Illinois,36.3,38.7,52.0,32.0,38.8,38.7
115,116,S Florida,36.5,32.3,54.0,35.5,37.5,44.1
116,117,Vanderbilt,37.1,34.3,37.0,42.6,28.0,37.3
117,118,Missouri,37.9,35.3,43.0,39.0,36.8,32.3
118,118,Duke,37.9,49.0,54.0,35.3,40.5,38.1
119,120,Kent State,38.0,46.0,47.0,35.0,39.8,38.0
120,121,N Mex State,38.5,46.0,35.0,35.3,40.4,--
121,122,Connecticut,38.7,33.7,44.0,39.0,38.5,--
122,123,LA Monroe,40.0,39.0,27.0,32.5,47.5,42.0
123,124,Tulane,40.1,33.3,14.0,33.0,44.4,28.1
124,125,Temple,40.5,42.7,45.0,36.0,43.2,37.1
125,126,Akron,41.0,36.7,31.0,38.8,43.3,41.3
126,127,Florida Intl,41.3,39.7,47.0,37.3,45.3,35.8
127,128,Arkansas St,45.8,35.7,48.0,45.8,45.8,38.2
128,129,U Mass,46.3,44.7,62.0,36.3,56.3,40.3
129,130,Kansas,46.4,41.7,35.0,39.0,53.8,46.0
