,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Wake Forest,45.1,56.7,55.0,39.8,50.5,32.3
1,2,Ohio State,44.9,37.7,26.0,45.4,44.3,41.0
2,3,Alabama,42.4,40.3,20.0,44.3,40.5,48.5
3,4,Coastal Car,41.4,30.0,28.0,49.0,33.8,36.6
4,5,Pittsburgh,41.0,38.3,54.0,38.3,43.8,26.4
5,6,W Kentucky,39.1,42.3,48.0,42.5,35.8,19.5
6,7,N Carolina,38.9,45.7,58.0,47.3,22.0,41.0
7,8,Oklahoma,38.8,46.3,52.0,36.6,42.3,42.5
8,9,Georgia,38.4,35.7,43.0,41.2,35.0,32.3
9,10,Virginia,38.4,48.3,49.0,38.8,38.0,28.0
10,10,Houston,38.4,43.0,54.0,34.3,40.8,30.0
11,12,Cincinnati,38.1,28.7,28.0,46.3,30.0,35.6
12,12,TX-San Ant,38.1,44.7,44.0,32.0,41.8,28.6
13,12,S Methodist,38.1,39.0,25.0,43.7,34.8,37.3
14,15,Michigan,36.2,31.7,29.0,37.2,34.3,28.3
15,16,Tennessee,36.0,31.7,45.0,35.8,36.3,21.5
16,17,Texas,35.8,18.3,7.0,47.5,26.4,42.7
17,18,Mississippi,35.8,26.0,27.0,42.8,28.8,39.2
18,19,App State,35.3,45.7,48.0,40.0,32.4,32.2
19,20,Marshall,35.0,38.3,28.0,32.0,36.8,25.1
20,21,Utah,34.9,43.3,52.0,34.3,35.2,30.2
21,21,Nevada,34.9,36.7,27.0,41.8,28.0,30.8
22,21,E Michigan,34.9,46.0,52.0,34.3,35.2,33.2
23,24,Iowa State,33.9,28.3,30.0,32.5,35.3,32.9
24,25,Liberty,33.7,37.0,14.0,49.3,25.8,37.1
25,26,Texas Tech,33.4,28.7,21.0,36.3,31.6,28.4
26,26,Oregon,33.4,37.3,26.0,37.0,29.8,31.3
27,28,Michigan St,33.0,28.7,29.0,36.0,31.2,18.0
28,29,Oregon St,32.9,33.7,34.0,38.0,29.8,28.9
29,29,Army,32.9,30.3,21.0,42.3,23.5,22.6
30,31,Notre Dame,32.8,36.3,34.0,30.2,38.0,33.4
31,32,Baylor,32.6,32.3,28.0,36.3,29.0,23.3
32,33,UCLA,32.2,26.3,24.0,34.6,29.3,35.4
33,34,LA Lafayette,31.3,31.3,21.0,39.0,23.5,33.6
34,35,Arkansas,31.0,35.0,31.0,35.4,23.7,25.7
35,36,E Carolina,30.5,32.7,45.0,35.8,25.3,30.2
36,36,N Illinois,30.5,40.0,47.0,34.7,28.0,24.8
37,36,Memphis,30.5,23.3,28.0,30.5,30.5,28.5
38,39,Boise State,30.4,28.3,40.0,30.5,30.4,33.9
39,39,BYU,30.4,37.0,66.0,34.2,25.8,41.5
40,41,Utah State,29.8,37.3,35.0,25.0,34.5,15.5
41,42,TX Christian,29.6,19.7,30.0,28.4,31.7,30.8
42,43,USC,29.6,24.3,16.0,30.4,28.5,33.3
43,43,Fresno St,29.6,26.0,14.0,32.8,27.0,32.8
44,45,Florida St,29.5,31.0,14.0,33.4,23.0,23.9
45,45,Oklahoma St,29.5,33.3,24.0,34.5,24.5,30.2
46,47,Florida,29.4,22.0,17.0,36.0,24.2,39.8
47,48,NC State,29.4,28.7,28.0,33.5,25.3,30.3
48,49,Buffalo,29.3,38.7,44.0,28.3,30.3,43.4
49,49,W Michigan,29.3,36.3,30.0,34.3,24.3,41.7
50,51,Arizona St,29.0,24.3,31.0,30.4,26.7,40.3
51,52,Kentucky,28.8,24.0,42.0,36.8,15.3,21.8
52,53,Central FL,28.6,29.0,14.0,23.5,33.8,42.2
53,53,Central Mich,28.6,35.3,42.0,31.7,26.8,31.3
54,53,Louisville,28.6,21.7,24.0,31.8,25.5,29.5
55,53,S Alabama,28.6,28.7,24.0,30.3,27.0,19.9
56,57,Texas A&M,28.6,33.0,20.0,33.7,18.3,32.6
57,58,UAB,28.5,36.7,52.0,29.8,27.3,26.4
58,58,Toledo,28.5,35.3,49.0,27.3,29.8,35.0
59,60,Miami (FL),28.4,34.0,33.0,26.8,31.0,34.0
60,61,Kent State,28.1,39.0,52.0,42.3,19.6,49.8
61,61,Missouri,28.1,19.0,6.0,30.0,26.3,26.7
62,63,LSU,28.0,26.7,14.0,39.0,21.4,32.0
63,63,Miss State,28.0,34.7,28.0,24.8,32.0,21.4
64,63,Kansas St,28.0,30.3,35.0,30.0,26.0,26.6
65,66,Auburn,27.5,24.0,3.0,33.8,21.3,25.1
66,67,Air Force,26.6,17.3,14.0,28.5,24.8,24.3
67,67,Middle Tenn,26.6,33.3,21.0,34.5,24.0,22.9
68,67,GA Tech,26.6,29.0,30.0,19.7,30.8,23.9
69,70,Fla Atlantic,26.3,26.3,13.0,34.3,18.3,18.9
70,71,Nebraska,26.0,21.0,17.0,30.6,20.3,23.1
71,72,Minnesota,25.9,27.0,6.0,23.7,30.3,27.3
72,73,San Diego St,25.8,19.0,17.0,28.0,23.5,24.6
73,74,Penn State,25.6,24.3,31.0,28.5,22.8,29.8
74,75,Syracuse,25.4,25.3,21.0,20.6,33.3,17.8
75,76,Wisconsin,25.2,36.3,52.0,21.6,29.8,25.1
76,77,Hawaii,24.9,29.7,10.0,24.5,25.2,26.2
77,78,LA Tech,24.9,24.7,38.0,25.7,24.4,22.3
78,79,Purdue,24.8,27.0,40.0,21.8,28.5,27.2
79,80,Tulsa,24.8,23.0,20.0,25.8,23.8,27.1
80,81,Ball State,24.5,28.7,31.0,19.0,27.8,34.3
81,82,Iowa,24.4,10.3,17.0,23.6,25.5,31.8
82,83,Arkansas St,24.3,18.0,14.0,27.8,20.8,31.2
83,83,Charlotte,24.3,17.7,31.0,28.3,20.3,27.0
84,85,Washington,23.9,19.0,16.0,29.0,18.8,30.3
85,86,Wash State,23.6,29.0,34.0,24.2,22.7,27.0
86,87,Wyoming,23.5,18.3,31.0,19.8,27.3,26.5
87,88,Maryland,23.3,22.7,14.0,26.6,17.7,23.6
88,89,Colorado St,23.1,20.0,17.0,24.0,22.6,22.3
89,89,Old Dominion,23.1,30.0,47.0,25.7,21.6,--
90,89,S Florida,23.1,30.0,42.0,31.8,14.5,22.6
91,89,North Texas,23.1,31.3,38.0,17.7,26.4,31.9
92,89,LA Monroe,23.1,29.3,19.0,30.5,15.8,16.3
93,89,Bowling Grn,23.1,35.3,56.0,21.0,24.4,11.4
94,95,Georgia State,23.1,22.0,17.0,18.5,26.8,33.3
95,96,TX El Paso,23.0,22.3,23.0,22.5,23.5,23.8
96,97,Stanford,22.9,17.0,7.0,18.8,26.2,29.3
97,98,Miami (OH),22.6,30.3,33.0,31.0,19.8,28.7
98,98,Troy,22.6,30.0,31.0,23.7,22.0,27.0
99,100,Duke,22.5,12.0,29.0,34.5,10.5,24.8
100,101,Ohio,22.3,29.3,35.0,24.5,20.0,34.3
101,102,Tulane,22.0,16.0,10.0,18.3,24.2,34.7
102,103,VA Tech,21.8,21.7,3.0,24.8,16.7,31.1
103,103,W Virginia,21.8,23.3,3.0,22.0,21.5,23.2
104,105,Boston Col,21.4,12.3,17.0,21.7,21.2,27.8
105,106,Texas State,21.0,14.3,27.0,27.0,15.0,27.7
106,107,N Mex State,20.6,25.0,13.0,12.3,25.6,--
107,108,California,20.5,22.7,3.0,22.0,19.0,20.3
108,109,Florida Intl,20.3,14.3,24.0,23.3,17.3,25.5
109,110,S Carolina,20.1,25.0,40.0,23.5,16.8,23.5
110,111,UNLV,19.4,23.7,31.0,15.7,21.6,17.3
111,111,GA Southern,19.4,12.0,8.0,25.3,13.5,27.3
112,113,Clemson,18.9,25.7,30.0,21.0,17.6,43.0
113,114,San Jose St,18.8,26.0,24.0,25.7,15.3,28.6
114,115,Akron,18.6,18.7,25.0,19.0,18.3,17.2
115,116,Rutgers,18.4,10.0,3.0,22.5,14.3,26.7
116,117,Northwestern,17.5,11.0,12.0,20.6,12.3,24.7
117,118,Illinois,17.2,16.0,14.0,19.2,14.3,20.1
118,119,Colorado,17.1,23.0,37.0,21.3,13.0,28.5
119,120,Navy,16.8,15.3,6.0,17.6,15.8,16.6
120,121,Vanderbilt,16.4,18.0,28.0,17.4,14.7,14.8
121,122,Indiana,15.9,16.3,7.0,15.3,16.2,28.9
122,123,Rice,15.8,26.0,24.0,18.3,14.2,23.4
123,124,Arizona,15.6,20.0,10.0,14.0,17.3,17.4
