,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Wisconsin,213.8,189.7,207.0,235.2,187.0,299.9
1,2,Georgia,232.4,290.3,273.0,232.4,232.5,321.0
2,3,Oklahoma St,269.6,216.7,133.0,257.5,281.8,379.0
3,4,Iowa State,283.4,343.7,207.0,253.5,313.3,341.6
4,5,Air Force,286.0,296.7,322.0,333.8,238.3,304.5
5,6,Michigan,297.4,274.3,195.0,273.5,345.3,434.3
6,7,Minnesota,299.0,258.3,265.0,323.0,251.0,415.4
7,8,Iowa,304.6,365.7,363.0,299.6,310.8,313.8
8,9,San Diego St,309.1,334.7,260.0,344.8,273.5,283.9
9,10,Colorado St,313.6,417.3,477.0,346.7,293.8,358.8
10,11,Alabama,316.1,313.3,295.0,286.3,346.0,352.2
11,12,Texas A&M,318.3,246.3,226.0,304.8,345.3,317.3
12,13,Cincinnati,319.9,344.7,446.0,313.5,326.3,325.1
13,14,Liberty,321.9,401.3,466.0,250.0,357.8,331.8
14,15,Miss State,322.1,254.7,393.0,361.6,272.8,389.7
15,16,S Alabama,323.9,366.3,320.0,249.8,398.0,436.6
16,17,TX El Paso,324.9,374.7,566.0,353.5,296.3,418.7
17,18,Houston,325.5,373.0,399.0,340.0,316.8,398.5
18,19,Wyoming,325.8,336.0,357.0,283.8,367.8,328.0
19,20,Purdue,331.4,402.0,458.0,349.0,309.5,401.3
20,21,Coastal Car,332.3,399.0,233.0,292.3,372.3,351.9
21,22,Troy,332.5,405.7,337.0,325.7,336.6,403.3
22,23,LA Lafayette,334.5,313.3,307.0,247.0,422.0,355.4
23,24,NC State,337.3,375.0,271.0,350.0,324.5,415.7
24,25,Army,341.3,450.0,402.0,393.0,289.5,275.2
25,26,Syracuse,341.8,340.0,251.0,314.6,387.0,463.9
26,27,Arizona St,344.4,389.0,312.0,297.2,423.0,435.8
27,28,Clemson,347.1,367.3,397.0,306.0,371.8,341.8
28,29,Kansas St,348.4,310.7,274.0,370.3,326.5,444.7
29,30,UAB,348.5,266.3,346.0,381.8,315.3,313.4
30,31,Washington,349.9,322.7,427.0,395.3,304.5,346.3
31,32,Kentucky,350.9,438.3,461.0,347.4,356.7,380.7
32,33,Boston Col,352.6,343.7,235.0,335.7,362.8,416.8
33,34,Florida,353.6,422.3,459.0,348.5,357.6,428.0
34,35,Toledo,354.0,406.7,490.0,401.3,306.8,362.2
35,36,California,354.5,282.0,340.0,302.8,406.3,367.5
36,37,Ohio State,356.3,294.3,361.0,392.8,310.8,401.9
