,Rank,Team,Rating,Hi,Low,Last
0,1,Alabama,10.0,1,15,1
1,2,Georgia,9.8,1,18,3
2,3,Auburn,9.7,2,101,2
3,4,Mississippi,9.5,3,53,4
4,5,Purdue,9.2,5,79,14
5,6,Penn State,9.2,4,25,6
6,7,LSU,8.5,5,31,7
7,8,Wisconsin,8.4,4,21,5
8,9,Ohio State,8.1,1,20,10
9,10,Michigan,8.0,4,67,18
10,11,Nebraska,8.0,2,72,11
11,12,Arkansas,7.6,3,77,15
12,13,Miss State,7.6,13,75,19
13,14,Tennessee,7.4,14,124,21
14,15,Notre Dame,7.3,8,46,17
15,16,Clemson,7.3,1,16,8
16,17,Texas A&M,7.0,6,69,23
17,18,Miami (FL),7.0,1,26,13
18,19,Texas,6.3,4,30,9
19,20,Oklahoma St,6.1,14,92,20
20,21,Florida,5.6,3,61,12
21,22,Louisville,5.6,17,51,25
22,23,W Virginia,5.5,4,39,26
23,24,Iowa State,5.5,7,87,24
24,25,Iowa,5.5,7,29,22
25,26,NC State,5.3,19,114,33
26,27,Indiana,5.1,6,32,16
27,28,Baylor,4.9,24,119,30
28,29,N Carolina,4.8,3,56,35
29,30,TX Christian,4.6,22,93,28
30,31,Michigan St,4.6,12,82,27
31,32,Oklahoma,4.2,4,35,32
32,33,Florida St,4.2,19,71,34
33,34,Illinois,4.0,3,87,29
34,35,Minnesota,3.7,1,57,43
35,36,Virginia,3.7,24,114,39
36,37,Wake Forest,3.3,29,116,47
37,38,Stanford,3.3,16,73,40
38,39,Oregon,3.1,4,44,37
39,40,Navy,3.0,40,95,42
40,41,Pittsburgh,2.7,27,109,41
41,42,Utah,2.7,19,115,36
42,43,Kansas St,2.6,24,66,45
43,44,Rutgers,2.3,25,94,54
44,45,UCLA,2.3,23,126,38
45,46,Maryland,2.3,31,49,46
46,47,Kentucky,2.2,30,101,31
47,48,USC,1.6,19,58,50
48,49,Tulane,1.6,5,66,44
49,50,Arizona St,1.4,27,128,56
50,51,BYU,1.4,46,73,55
51,52,Wash State,1.4,52,115,60
52,53,Syracuse,1.3,50,106,59
53,54,Boise State,1.3,3,62,49
54,55,Washington,1.0,25,88,58
55,56,VA Tech,0.8,5,57,48
56,57,S Carolina,0.7,35,123,52
57,58,Cincinnati,0.6,11,91,51
58,59,Colorado,0.6,38,118,61
59,60,GA Tech,0.6,29,113,53
60,61,Texas Tech,0.4,35,86,63
61,62,Oregon St,0.3,27,75,57
62,63,Central FL,0.0,7,74,62
63,64,Northwestern,-0.3,11,94,67
64,65,Boston Col,-1.0,44,129,68
65,66,California,-1.2,13,66,66
66,67,Army,-1.4,63,103,65
67,68,Arizona,-1.6,42,103,72
68,69,Tulsa,-2.0,37,116,71
69,70,App State,-2.0,17,110,64
70,71,Missouri,-2.2,26,78,70
71,72,E Carolina,-2.3,6,83,69
72,73,S Florida,-2.6,4,100,75
73,74,S Methodist,-2.7,63,119,74
74,75,Georgia State,-4.2,27,94,84
75,76,Memphis,-4.2,51,108,78
76,77,Nevada,-4.2,37,79,79
77,78,Fresno St,-4.3,27,129,73
78,79,Liberty,-4.3,39,113,76
79,80,UAB,-4.7,36,126,85
80,81,Houston,-4.7,33,109,77
81,82,Air Force,-5.2,79,121,82
82,83,Kansas,-5.4,78,125,97
83,84,Marshall,-5.5,63,109,83
84,85,Miami (OH),-5.7,9,101,87
85,86,W Kentucky,-6.2,67,128,81
86,87,Ball State,-6.3,69,118,88
87,88,LA Lafayette,-6.7,9,92,90
88,89,San Diego St,-6.9,76,130,92
89,90,Colorado St,-6.9,88,127,93
90,91,LA Tech,-7.0,39,111,86
91,92,Duke,-7.1,82,120,95
92,93,W Michigan,-7.3,16,93,80
93,94,TX-San Ant,-7.5,53,100,89
94,95,Toledo,-7.6,41,116,91
95,96,Utah State,-7.8,62,121,102
96,97,N Illinois,-8.0,43,113,96
97,98,Central Mich,-8.1,26,107,99
98,99,Fla Atlantic,-8.5,15,101,94
99,100,Kent State,-8.7,10,109,98
100,101,Middle Tenn,-8.8,74,127,100
101,102,Vanderbilt,-9.2,88,123,111
102,103,Coastal Car,-9.3,33,124,101
103,104,Old Dominion,-9.3,10,122,106
104,105,UNLV,-9.4,94,127,104
105,106,Wyoming,-9.5,70,125,115
106,107,Troy,-9.9,71,124,113
107,108,Ohio,-9.9,67,122,114
108,109,Arkansas St,-10.0,88,120,103
109,110,North Texas,-10.0,97,128,107
110,111,San Jose St,-10.1,63,128,105
111,112,GA Southern,-10.4,84,112,108
112,113,Buffalo,-10.6,55,125,112
113,114,E Michigan,-10.8,84,122,109
114,115,Rice,-10.9,20,118,117
115,116,Hawaii,-10.9,1,116,110
116,117,Temple,-11.0,44,123,118
117,118,Bowling Grn,-12.5,65,128,119
118,119,LA Monroe,-12.7,29,128,116
119,120,Charlotte,-13.1,82,124,121
120,121,S Mississippi,-13.3,77,125,124
121,122,New Mexico,-13.7,114,130,123
122,123,TX El Paso,-14.1,99,130,122
123,124,Texas State,-14.2,62,125,120
124,125,S Alabama,-14.3,89,129,126
125,126,Akron,-15.2,35,130,128
126,127,Florida Intl,-15.3,115,130,125
127,128,N Mex State,-15.6,94,130,127
128,129,Connecticut,-19.2,97,130,130
129,130,U Mass,-19.6,43,130,129
