,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Ohio State,562.7,587.0,598.0,585.0,518.0,519.4
1,2,Mississippi,544.5,536.3,611.0,659.0,430.0,555.9
2,3,W Kentucky,541.3,562.7,670.0,564.0,518.5,294.5
3,4,Coastal Car,541.0,600.3,685.0,525.3,564.5,448.4
4,5,Virginia,521.4,492.3,522.0,531.0,515.0,412.8
5,6,Pittsburgh,516.0,489.0,580.0,543.5,488.5,372.0
6,7,S Methodist,515.4,487.3,404.0,499.5,526.0,501.4
7,8,Duke,512.6,470.0,489.0,556.3,447.0,379.7
8,9,Florida,504.2,455.3,479.0,494.3,524.0,509.8
9,10,Fresno St,489.8,511.7,505.0,501.0,482.3,479.3
10,11,N Carolina,486.2,419.0,432.0,548.5,361.5,537.0
11,12,Tennessee,484.6,526.0,472.0,439.0,553.0,346.2
12,13,Alabama,482.2,526.3,522.0,528.5,451.3,541.8
13,14,Memphis,481.4,493.7,614.0,326.5,584.7,441.8
14,15,Texas,480.2,523.3,516.0,564.7,395.7,475.4
15,16,Marshall,478.2,426.7,390.0,518.5,451.3,365.1
16,17,Texas Tech,476.8,474.7,558.0,571.0,414.0,408.6
17,18,Nebraska,470.0,509.3,431.0,534.7,405.3,391.5
18,19,App State,469.8,464.7,502.0,566.0,437.7,445.2
19,20,Iowa State,468.8,512.0,564.0,451.5,486.0,436.3
20,21,Michigan St,467.6,457.7,600.0,386.5,521.7,330.6
21,22,Utah State,462.0,469.0,336.0,389.5,534.5,275.8
22,23,Arkansas,460.5,428.7,676.0,492.3,428.7,391.5
23,24,TX-San Ant,458.8,448.3,564.0,417.0,486.7,407.8
24,25,Louisville,455.2,473.3,503.0,502.0,424.0,444.2
25,26,TX Christian,450.0,431.7,498.0,434.0,498.0,412.4
26,27,Central Mich,449.8,496.7,461.0,599.0,412.5,420.5
27,28,Cincinnati,449.5,418.7,542.0,542.0,357.0,442.8
28,29,USC,448.2,472.7,493.0,437.0,470.5,416.7
29,30,Arizona St,447.4,448.7,440.0,448.0,446.5,458.5
30,31,Wake Forest,447.2,466.7,426.0,445.7,449.5,428.3
31,32,Tulsa,443.2,456.0,416.0,456.0,424.0,414.1
32,33,Oregon St,442.6,430.7,467.0,424.0,455.0,408.9
33,34,Oklahoma,442.2,455.7,662.0,385.7,527.0,483.4
34,35,Michigan,440.5,366.3,459.0,454.8,412.0,381.3
35,36,E Carolina,435.4,511.0,360.0,437.5,434.0,403.3
36,37,Auburn,434.4,396.7,318.0,450.0,411.0,382.8
37,38,UCLA,433.5,443.7,411.0,430.8,439.0,455.7
38,39,Georgia,433.0,437.3,432.0,458.3,407.7,424.1
39,40,Miss State,428.6,464.0,438.0,412.3,453.0,340.2
40,41,Missouri,425.4,420.3,474.0,446.0,394.5,402.0
41,42,Liberty,425.0,454.0,449.0,436.5,417.3,478.9
42,43,Air Force,424.4,426.0,321.0,485.3,333.0,389.3
43,44,Kentucky,422.8,343.7,475.0,445.5,332.0,318.3
44,44,Arkansas St,422.8,388.7,273.0,476.5,387.0,481.4
45,46,Maryland,421.8,377.3,335.0,431.0,408.0,409.0
46,47,Fla Atlantic,421.6,404.7,291.0,622.5,287.7,324.6
47,48,Central FL,419.5,368.3,359.0,466.0,373.0,568.1
48,49,Oregon,417.5,437.3,414.0,375.5,459.5,412.9
49,50,Kent State,417.4,495.7,633.0,514.5,352.7,612.5
50,51,NC State,416.5,380.3,418.0,443.0,337.0,386.2
51,52,Purdue,415.6,371.7,448.0,389.3,455.0,391.2
52,53,Baylor,411.0,363.3,525.0,405.0,415.0,310.2
53,54,Nevada,407.3,418.7,532.0,532.0,365.7,441.4
54,55,BYU,404.8,442.3,413.0,398.8,417.0,521.4
55,56,LA Tech,404.5,416.3,480.0,384.5,424.5,290.7
56,57,Florida Intl,401.8,454.3,538.0,469.0,357.0,315.8
57,58,W Michigan,401.4,393.3,376.0,361.5,428.0,479.7
58,59,GA Tech,400.8,422.0,440.0,430.5,381.0,389.9
59,60,Washington,396.3,414.0,318.0,462.0,330.5,402.8
60,61,LA Lafayette,395.3,407.7,283.0,562.0,339.7,421.8
61,62,Florida St,394.6,404.7,383.0,424.3,350.0,382.3
62,63,LSU,394.4,369.7,408.0,421.0,376.7,433.9
63,64,Charlotte,393.4,404.3,378.0,525.0,305.7,377.7
64,65,Northwestern,392.8,390.3,293.0,430.5,355.0,360.9
65,66,North Texas,388.0,348.7,493.0,220.0,444.0,490.1
66,67,Army,387.8,389.0,279.0,434.7,317.5,303.2
67,68,Hawaii,386.4,403.0,348.0,358.5,405.0,384.0
68,69,Toledo,382.8,423.3,371.0,331.0,417.3,494.0
