,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Iowa,3.0,4.0,1.0,2.0,5.5,2.3
1,2,Middle Tenn,2.7,4.0,3.0,6.0,2.0,1.6
2,3,Wake Forest,2.5,1.7,2.0,3.3,1.7,1.6
3,4,Boise State,2.4,1.7,1.0,2.0,3.0,0.4
4,5,Cincinnati,2.3,2.3,1.0,2.0,2.7,2.2
5,6,Notre Dame,2.3,1.7,2.0,1.5,3.3,1.4
6,7,E Carolina,2.2,2.0,1.0,3.5,1.5,2.0
7,7,Troy,2.2,3.3,4.0,1.5,2.5,1.3
8,9,TX-San Ant,2.1,2.3,3.0,2.3,2.0,1.6
9,9,Kent State,2.1,1.7,3.0,2.0,2.2,1.3
10,9,S Carolina,2.1,1.0,1.0,3.0,1.5,1.1
11,12,Hawaii,2.0,2.7,2.0,3.3,1.0,1.9
12,12,Houston,2.0,2.3,3.0,2.0,2.0,0.8
13,12,Central FL,2.0,2.7,4.0,2.7,1.3,2.2
14,12,UAB,2.0,2.3,2.0,2.3,1.8,1.4
15,12,Oregon,2.0,1.0,3.0,2.7,1.3,1.0
16,12,Penn State,2.0,2.0,3.0,2.0,2.0,1.0
17,12,S Alabama,2.0,1.7,1.0,2.0,2.0,1.3
18,19,Fresno St,1.9,2.7,2.0,1.3,2.3,1.7
19,19,Wash State,1.9,1.3,0.0,1.8,2.0,1.5
20,21,TX El Paso,1.8,2.3,3.0,2.3,1.3,0.7
21,21,Michigan St,1.8,1.7,3.0,1.5,2.0,1.6
22,21,LA Monroe,1.8,2.0,3.0,1.8,2.0,1.0
23,21,Nevada,1.8,2.3,1.0,3.0,1.3,1.0
24,21,Marshall,1.8,2.0,2.0,1.5,2.0,1.6
25,26,UCLA,1.8,2.3,3.0,2.0,1.3,1.6
26,27,Toledo,1.7,1.0,2.0,1.3,2.0,1.5
27,27,Vanderbilt,1.7,2.7,2.0,1.3,2.3,1.0
28,29,Colorado St,1.7,2.3,1.0,2.0,1.5,1.3
29,29,Northwestern,1.7,1.0,2.0,1.7,1.7,2.1
30,29,Washington,1.7,1.3,2.0,2.0,1.3,2.0
31,29,Baylor,1.7,1.7,1.0,1.0,2.3,1.9
32,29,Duke,1.7,1.0,1.0,3.0,0.3,1.8
33,29,Mississippi,1.7,2.0,3.0,2.0,1.3,1.3
34,29,Oregon St,1.7,1.0,0.0,1.3,2.0,0.9
35,29,San Diego St,1.7,1.7,2.0,2.0,1.3,1.6
36,29,Tulsa,1.7,1.7,1.0,2.0,1.3,1.8
37,38,Alabama,1.6,1.7,1.0,1.0,2.0,1.7
38,38,Ohio State,1.6,1.7,0.0,1.5,1.7,2.4
39,38,N Mex State,1.6,1.3,2.0,2.0,1.4,--
40,41,Boston Col,1.5,1.3,4.0,1.0,1.8,1.9
41,41,Illinois,1.5,1.3,0.0,1.6,1.3,1.9
42,41,S Florida,1.5,2.0,2.0,2.3,0.7,1.3
43,41,LA Tech,1.5,1.3,0.0,0.3,2.7,1.3
44,41,Missouri,1.5,1.3,1.0,1.5,1.5,1.0
45,41,Pittsburgh,1.5,1.7,2.0,1.0,2.0,1.7
46,41,Rutgers,1.5,0.7,0.0,2.0,1.0,2.1
47,41,Fla Atlantic,1.5,1.7,3.0,1.5,1.5,1.2
48,41,BYU,1.5,0.7,1.0,1.8,1.3,1.1
49,50,Texas,1.4,2.0,1.0,1.0,2.0,1.8
50,50,Texas Tech,1.4,1.0,2.0,1.0,1.8,1.0
