,Rank,Team,Rating,Hi,Low,Last
0,1,Michigan,34.0,1,37,5
1,2,Georgia,29.9,1,20,1
2,3,Ohio State,29.5,1,20,2
3,4,Notre Dame,28.5,4,63,4
4,5,Utah,24.7,5,118,6
5,6,Oklahoma St,24.1,3,104,3
6,7,Alabama,24.1,1,21,8
7,8,Wisconsin,22.5,3,66,7
8,9,Cincinnati,18.5,4,30,11
9,10,Clemson,18.5,3,44,9
10,11,Penn State,18.1,5,35,12
11,12,W Kentucky,17.7,10,89,10
12,13,Pittsburgh,17.5,4,63,28
13,14,Texas A&M,17.0,6,53,13
14,15,Purdue,16.0,14,51,15
15,16,NC State,15.7,1,51,14
16,17,UCLA,15.4,1,63,16
17,18,Iowa State,14.2,7,103,18
18,19,Arkansas,14.0,7,49,21
19,20,Miss State,13.7,10,89,20
20,21,Baylor,13.3,9,102,25
21,22,Minnesota,12.7,6,72,22
22,23,Wash State,12.6,19,107,23
23,24,Oklahoma,11.9,4,41,24
24,25,Tennessee,11.4,10,116,26
25,26,Mississippi,11.1,3,65,29
26,27,Miami (FL),11.0,8,85,30
27,28,Illinois,11.0,3,94,27
28,29,Kentucky,10.6,21,81,31
29,30,LA Lafayette,10.2,30,107,38
30,31,Kansas St,10.0,24,68,32
31,32,Louisville,8.4,11,84,34
32,33,Auburn,8.4,7,39,39
33,34,Wake Forest,8.3,10,60,19
34,35,Michigan St,8.2,4,57,40
35,36,LSU,7.9,24,64,42
36,37,BYU,7.8,32,69,33
37,38,Nebraska,7.8,6,126,35
38,39,N Carolina,7.6,9,66,41
39,40,Utah State,7.2,39,126,69
40,41,Boise State,6.4,10,58,43
41,42,Central Mich,6.3,40,106,45
42,43,Houston,6.2,16,96,44
43,44,Nevada,5.6,37,78,46
44,45,App State,5.5,8,63,17
45,46,Florida St,5.5,27,102,48
46,47,Iowa,5.2,2,58,37
47,48,Tulsa,4.7,28,125,49
48,49,North Texas,4.6,48,120,50
49,50,UAB,4.1,4,80,78
50,51,California,3.8,28,87,47
51,52,VA Tech,3.5,6,80,53
52,53,Army,3.1,8,75,51
53,54,Oregon St,2.9,27,73,52
54,55,Air Force,2.6,38,102,56
55,56,S Carolina,2.4,33,96,58
56,57,Oregon,2.3,9,57,36
57,58,E Carolina,2.1,39,120,59
58,59,Arizona St,2.1,20,117,57
59,60,W Virginia,1.6,12,61,60
60,61,Texas Tech,1.6,22,124,61
61,62,S Methodist,1.3,28,114,62
62,63,Georgia State,1.1,57,123,63
63,64,Fresno St,1.0,2,94,55
64,65,Navy,0.2,64,129,64
65,66,Tulane,-0.1,10,115,66
66,67,Liberty,-0.2,21,89,85
67,68,Missouri,-0.9,48,101,67
68,69,Miami (OH),-1.1,67,100,68
69,70,Old Dominion,-1.7,69,124,70
70,71,Maryland,-2.1,10,105,73
71,72,Toledo,-2.2,35,104,54
72,73,Central FL,-2.3,9,76,71
73,74,Texas,-2.5,5,78,72
74,75,Virginia,-2.5,13,77,77
75,76,Boston Col,-3.0,23,83,76
76,77,Colorado,-3.1,36,110,74
77,78,TX-San Ant,-3.6,30,108,75
78,79,Coastal Car,-3.8,11,109,82
79,80,Florida,-4.0,6,81,79
80,81,Middle Tenn,-4.1,69,115,84
81,82,Syracuse,-4.1,27,86,83
82,83,Memphis,-4.2,65,91,81
83,84,Wyoming,-5.4,70,116,91
84,85,Arizona,-5.7,69,120,87
85,86,San Diego St,-5.7,58,108,65
86,87,Rutgers,-6.0,11,109,89
87,88,Washington,-6.3,34,117,88
88,89,Marshall,-6.7,5,89,80
89,90,N Illinois,-7.0,65,113,95
90,91,USC,-8.4,20,92,86
91,92,Kansas,-9.4,80,129,93
92,93,Hawaii,-10.2,93,128,96
93,94,Kent State,-10.3,69,112,90
94,95,W Michigan,-10.6,47,112,94
95,96,S Florida,-10.6,20,127,97
96,97,TX El Paso,-12.1,89,130,104
97,98,TX Christian,-12.2,30,101,99
98,99,Northwestern,-12.4,67,117,98
99,100,GA Tech,-12.5,32,100,100
100,101,Ball State,-12.6,58,122,101
101,102,Vanderbilt,-13.0,98,130,103
102,103,Ohio,-13.7,78,127,102
103,104,LA Monroe,-14.2,102,129,107
104,105,GA Southern,-14.4,84,124,105
105,106,S Alabama,-14.4,54,117,106
106,107,UNLV,-14.5,101,128,108
107,108,Indiana,-14.7,17,109,109
108,109,S Mississippi,-15.2,100,129,110
109,110,San Jose St,-15.6,13,125,111
110,111,E Michigan,-16.2,73,119,92
111,112,Troy,-17.1,25,112,112
112,113,LA Tech,-17.8,55,118,113
113,114,Rice,-18.4,82,130,116
114,115,Colorado St,-18.5,42,129,114
115,116,Buffalo,-18.9,3,117,115
116,117,Fla Atlantic,-19.9,49,119,119
117,118,Texas State,-20.0,86,125,117
118,119,Stanford,-20.4,23,119,118
119,120,Arkansas St,-21.5,71,125,120
120,121,New Mexico,-21.8,109,129,122
121,122,Bowling Grn,-22.1,98,129,121
122,123,Charlotte,-22.5,85,123,123
123,124,N Mex State,-24.8,120,130,124
124,125,Duke,-25.9,85,126,125
125,126,Connecticut,-27.4,111,130,126
126,127,Akron,-31.3,106,130,127
127,128,Temple,-34.4,96,128,128
128,129,U Mass,-37.3,87,130,129
129,130,Florida Intl,-41.2,15,130,130
