,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
0,1,Michigan,49.4,0-0,0-0,0-0,1,63,20
1,2,Alabama,44.6,0-0,1-0,0-0,1,20,2
2,3,Notre Dame,44.3,0-0,0-0,0-0,1,62,1
3,4,Utah,36.9,0-0,0-0,0-0,3,118,38
4,5,Pittsburgh,34.9,0-0,0-0,0-0,5,51,21
5,6,GA Tech,30.9,0-0,0-0,0-0,3,82,3
6,7,W Kentucky,27.5,0-0,0-0,0-0,7,107,48
7,8,Liberty,26.6,0-0,0-0,0-0,8,67,60
8,9,Clemson,25.3,0-0,0-1,0-0,2,21,5
9,10,Mississippi,25.1,0-0,0-0,0-0,4,64,6
10,11,Arkansas,24.8,0-0,0-0,0-0,5,60,7
11,12,Texas Tech,24.2,0-0,0-0,0-0,4,78,8
12,13,Georgia,23.3,1-1,0-0,1-0,2,23,4
13,14,Baylor,21.0,0-0,1-0,0-0,12,103,44
14,15,Oklahoma,16.0,0-0,1-0,0-0,4,64,9
15,16,LA Lafayette,15.7,0-0,0-0,0-0,16,101,63
16,17,Utah State,14.7,0-0,0-0,0-0,17,121,54
17,18,Colorado,11.8,0-0,0-0,0-0,7,110,11
18,19,Kansas St,11.3,0-0,0-0,0-0,5,61,12
19,20,Purdue,10.4,0-0,0-0,0-0,12,58,13
20,21,UAB,9.2,0-0,0-0,0-0,1,71,14
21,22,Texas,9.1,0-0,0-1,0-0,11,89,15
22,23,Oklahoma St,7.2,0-0,0-1,0-0,20,84,23
23,24,Navy,6.9,0-0,0-0,0-0,22,97,74
24,25,Middle Tenn,6.7,0-0,0-0,0-0,21,113,92
25,26,Florida,5.3,0-0,0-1,0-0,9,46,17
26,27,N Illinois,2.5,0-0,0-0,0-0,21,113,82
27,28,Ohio State,--,0-0,0-0,0-0,3,32,19
28,29,Minnesota,--,0-0,0-0,0-0,9,65,22
29,30,Penn State,--,0-0,0-0,0-0,9,34,24
30,31,Cincinnati,--,0-0,0-0,0-0,11,51,26
31,32,Miss State,--,0-0,0-0,0-0,25,76,27
32,33,Wash State,--,0-0,0-0,0-0,27,86,28
33,34,NC State,--,0-0,0-0,0-0,5,88,31
34,35,Kentucky,--,0-0,0-0,0-0,31,65,32
35,36,Iowa State,--,0-0,0-0,0-0,7,83,33
36,37,UCLA,--,0-0,0-0,0-0,1,62,35
37,38,Tennessee,--,0-0,0-0,0-0,23,116,36
38,39,USC,--,0-0,0-0,0-0,14,63,29
39,40,Auburn,--,0-0,0-0,0-0,20,48,37
40,41,Boise State,--,0-0,0-0,0-0,4,44,39
41,42,Nevada,--,0-0,0-0,0-0,16,77,41
42,43,Michigan St,--,0-0,0-0,0-0,4,65,43
43,44,Tulsa,--,0-0,0-0,0-0,28,121,45
44,45,Rutgers,--,0-0,0-0,0-0,27,92,47
45,46,Florida St,--,0-0,0-0,0-0,41,94,46
46,47,Arizona St,--,0-0,0-0,0-0,27,117,49
47,48,Nebraska,--,0-0,0-0,0-0,34,127,50
48,49,LSU,--,0-0,0-0,0-0,10,71,53
49,50,Illinois,--,0-0,0-0,0-0,3,106,52
50,51,TX-San Ant,--,0-0,0-0,0-0,19,125,56
51,52,Virginia,--,0-0,0-0,0-0,45,79,59
52,53,San Diego St,--,0-0,0-0,0-0,17,89,58
53,54,VA Tech,--,0-0,0-0,0-0,10,65,61
54,55,Washington,--,0-0,0-0,0-0,25,94,62
55,56,W Michigan,--,0-0,0-0,0-0,48,113,65
56,57,Maryland,--,0-0,0-0,0-0,37,87,64
57,58,W Virginia,--,0-0,0-0,0-0,23,69,67
58,59,Georgia State,--,0-0,0-0,0-0,59,115,68
59,60,California,--,0-0,0-0,0-0,22,73,66
60,61,Colorado St,--,0-0,0-0,0-0,22,120,69
61,62,S Methodist,--,0-0,0-0,0-0,40,82,71
62,63,Boston Col,--,0-0,0-0,0-0,37,97,70
63,64,Missouri,--,0-0,0-0,0-0,31,78,72
64,65,S Carolina,--,0-0,0-0,0-0,41,88,73
65,66,Wyoming,--,0-0,0-0,0-0,28,98,77
66,67,Syracuse,--,0-0,0-0,0-0,15,106,75
67,68,Central FL,--,0-0,0-0,0-0,11,84,78
68,69,Central Mich,--,0-0,0-0,0-0,68,104,76
