,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Georgia,9.8,19.3,41.0,7.8,11.1,20.0
1,2,Michigan,16.1,16.0,3.0,12.6,20.2,34.5
2,3,Clemson,16.1,11.3,0.0,15.0,17.0,22.0
3,4,Wisconsin,16.4,19.3,23.0,16.7,16.0,17.4
4,5,Penn State,16.7,17.0,30.0,12.3,22.0,27.7
5,6,Cincinnati,16.8,15.7,20.0,15.3,18.3,16.4
6,6,Oklahoma St,16.8,18.0,21.0,18.3,15.3,23.5
7,8,Texas A&M,17.1,19.7,27.0,15.2,19.4,21.7
8,9,LA Lafayette,18.1,17.7,21.0,12.7,22.7,22.0
9,10,Minnesota,18.3,18.0,13.0,21.6,13.6,30.1
10,10,Notre Dame,18.3,5.7,14.0,17.4,19.4,19.7
11,12,Boise State,19.0,13.3,27.0,18.7,19.3,27.1
12,13,Iowa,19.2,28.7,42.0,16.6,22.2,16.0
13,14,San Diego St,19.3,27.3,46.0,23.0,14.2,17.8
14,15,Air Force,19.5,24.7,14.0,20.8,18.5,15.0
15,16,Baylor,20.2,16.7,16.0,22.5,17.8,29.2
16,17,Purdue,20.5,26.7,7.0,19.3,21.7,29.8
17,18,Alabama,20.8,27.0,24.0,18.5,23.0,19.4
18,19,NC State,20.8,30.7,30.0,18.0,24.2,29.2
19,20,Kansas St,20.9,19.7,22.0,22.7,18.8,32.2
20,21,Ohio State,20.9,26.7,42.0,20.1,22.0,25.8
21,21,Utah,20.9,10.0,10.0,15.6,24.7,26.0
22,23,Fresno St,21.4,13.3,24.0,21.8,21.1,30.0
23,24,Iowa State,21.5,27.7,14.0,15.2,26.8,21.4
24,24,Arizona St,21.5,23.0,15.0,16.3,27.8,23.3
25,24,California,21.5,22.3,14.0,17.0,25.3,26.5
26,27,Illinois,21.9,17.7,14.0,21.6,22.4,34.9
27,28,Kentucky,22.0,18.0,21.0,22.2,21.8,25.9
28,29,Coastal Car,22.3,27.7,41.0,20.3,24.2,20.2
29,30,Houston,22.8,21.7,35.0,23.5,22.4,32.0
30,30,Liberty,22.8,31.0,20.0,24.0,21.9,22.8
31,30,Toledo,22.8,22.7,31.0,25.0,21.1,24.3
32,33,App State,23.1,28.7,59.0,19.0,25.6,19.9
33,34,Wyoming,23.1,26.0,38.0,19.6,26.0,21.0
34,35,Army,23.5,16.7,17.0,30.6,17.5,15.9
35,36,Washington,23.5,31.7,40.0,25.3,21.4,25.0
36,37,Nebraska,24.1,29.7,28.0,20.7,28.2,29.4
37,37,VA Tech,24.1,26.3,24.0,23.7,24.6,32.1
38,39,Auburn,24.2,29.3,24.0,25.8,22.2,24.7
39,39,Boston Col,24.2,32.3,41.0,27.4,21.5,28.4
40,41,Florida,24.3,28.3,21.0,16.0,31.2,30.8
41,41,Wash State,24.3,23.0,13.0,27.5,20.4,38.5
42,43,Pittsburgh,24.4,24.3,21.0,27.8,21.0,27.0
43,44,Utah State,24.5,12.0,13.0,32.0,19.8,35.2
44,45,Marshall,24.9,39.0,36.0,25.8,24.3,14.4
45,46,TX El Paso,25.0,33.7,31.0,21.8,27.3,36.8
46,47,UAB,25.2,29.0,28.0,28.6,22.7,19.8
47,48,Miami (OH),25.4,24.3,48.0,15.8,30.9,26.7
48,49,TX-San Ant,25.6,39.0,41.0,19.8,31.3,27.1
