,Rank,Team,Rating,Hi,Low,Last
0,1,Alabama,13.3,1,15,2
1,2,Georgia,12.5,1,18,5
2,3,Ohio State,11.0,1,20,1
3,4,Michigan,10.4,4,67,4
4,5,Auburn,10.0,2,101,3
5,6,Nebraska,9.2,2,72,6
6,7,Wisconsin,9.0,4,21,7
7,8,Penn State,8.9,4,25,8
8,9,Arkansas,8.5,3,77,9
9,10,Mississippi,8.3,3,53,11
10,11,LSU,7.8,5,31,12
11,12,Purdue,7.8,5,79,10
12,13,Clemson,7.4,1,16,13
13,14,Michigan St,7.0,12,82,14
14,15,Oklahoma St,7.0,14,92,17
15,16,Miss State,6.8,13,75,15
16,17,Iowa,6.7,7,29,22
17,18,Texas A&M,6.5,6,69,19
18,19,Notre Dame,6.5,8,46,16
19,20,Iowa State,6.3,7,87,18
20,21,Oklahoma,6.2,4,35,20
21,22,Texas,6.2,4,30,21
22,23,Tennessee,6.0,14,124,23
23,24,Baylor,5.6,24,119,30
24,25,Miami (FL),5.3,1,26,24
25,26,Indiana,5.2,6,32,25
26,27,Florida,4.8,3,61,28
27,28,Minnesota,4.8,1,57,26
28,29,Florida St,4.7,19,71,27
29,30,Wake Forest,4.7,29,116,32
30,31,NC State,4.6,19,114,29
31,32,Oregon,4.2,4,44,34
32,33,N Carolina,4.2,3,56,31
33,34,W Virginia,4.1,4,39,33
34,35,Virginia,3.9,24,114,35
35,36,Pittsburgh,3.8,27,109,44
36,37,Louisville,3.8,17,51,36
37,38,Kansas St,3.7,24,66,38
38,39,Illinois,3.7,3,87,37
39,40,Utah,3.3,19,115,41
40,41,Maryland,3.2,31,49,39
41,42,Kentucky,3.0,30,101,42
42,43,Stanford,3.0,16,73,40
43,44,TX Christian,2.8,22,93,43
44,45,S Carolina,2.4,35,123,46
45,46,Cincinnati,2.4,11,91,49
46,47,UCLA,2.2,23,126,45
47,48,USC,2.0,19,58,47
48,49,Texas Tech,2.0,35,86,50
49,50,Syracuse,1.8,50,106,52
50,51,VA Tech,1.6,5,57,53
51,52,Colorado,1.4,38,118,51
52,53,Oregon St,1.4,27,75,48
53,54,GA Tech,1.2,29,113,56
54,55,Rutgers,1.1,25,94,55
55,56,BYU,1.1,46,73,58
56,57,Wash State,0.9,52,115,57
57,58,Arizona St,0.9,27,128,54
58,59,Tulane,0.7,5,66,60
59,60,Missouri,0.6,26,78,59
60,61,Boise State,0.4,3,62,61
61,62,Navy,0.3,40,95,64
62,63,Washington,-0.2,25,88,62
63,64,California,-0.4,13,66,63
64,65,Northwestern,-0.9,11,94,66
65,66,Arizona,-0.9,42,103,65
66,67,Boston Col,-1.3,44,129,67
67,68,Tulsa,-1.6,37,116,70
68,69,S Methodist,-1.6,63,119,71
69,70,E Carolina,-1.7,6,83,69
70,71,App State,-1.9,17,110,74
71,72,Army,-2.2,63,103,68
72,73,S Florida,-2.6,4,100,72
73,74,Central FL,-2.6,7,74,73
74,75,W Kentucky,-2.9,67,128,81
75,76,Houston,-2.9,33,109,85
76,77,Nevada,-3.3,37,79,75
77,78,UAB,-3.6,36,126,80
78,79,Memphis,-3.7,51,108,77
79,80,Kansas,-4.0,78,125,78
80,81,Liberty,-4.0,39,113,79
81,82,LA Lafayette,-4.5,9,92,87
82,83,Fresno St,-4.7,27,129,76
83,84,Marshall,-4.8,63,109,86
84,85,Air Force,-5.0,79,121,82
85,86,Georgia State,-5.8,27,94,84
86,87,TX-San Ant,-5.8,53,100,93
87,88,San Diego St,-6.2,76,130,83
88,89,Utah State,-6.5,62,121,102
89,90,Vanderbilt,-6.6,88,123,88
90,91,W Michigan,-6.7,16,93,89
91,92,Colorado St,-7.1,88,127,94
92,93,Ball State,-7.2,69,118,91
93,94,Miami (OH),-7.3,9,101,90
94,95,Central Mich,-7.3,26,107,92
95,96,N Illinois,-7.5,43,113,96
96,97,Duke,-7.6,82,120,95
97,98,UNLV,-8.0,94,127,97
98,99,Middle Tenn,-8.1,74,127,106
99,100,Fla Atlantic,-8.5,15,101,101
100,101,Toledo,-8.8,41,116,98
101,102,GA Southern,-8.9,84,112,100
102,103,North Texas,-9.0,97,128,105
103,104,Troy,-9.1,71,124,103
104,105,LA Tech,-9.3,39,111,108
105,106,Wyoming,-9.3,70,125,109
106,107,Kent State,-9.3,10,109,99
107,108,Hawaii,-9.3,1,116,104
108,109,San Jose St,-9.4,63,128,107
109,110,E Michigan,-9.8,84,122,111
110,111,Old Dominion,-9.8,10,122,113
111,112,LA Monroe,-10.0,29,128,110
112,113,Rice,-10.2,20,118,116
113,114,Arkansas St,-10.4,88,120,114
114,115,Coastal Car,-10.6,33,124,112
115,116,Buffalo,-10.9,55,125,117
116,117,Ohio,-11.0,67,122,115
117,118,S Alabama,-11.7,89,129,118
118,119,Temple,-12.0,44,123,119
119,120,TX El Paso,-12.1,99,130,124
120,121,New Mexico,-12.6,114,130,121
121,122,Bowling Grn,-12.8,65,128,120
122,123,Charlotte,-12.9,82,124,122
123,124,S Mississippi,-13.3,77,125,125
124,125,Texas State,-13.5,62,125,123
125,126,Akron,-15.8,35,130,126
126,127,Florida Intl,-16.1,115,130,127
127,128,N Mex State,-16.2,94,130,128
128,129,Connecticut,-16.7,97,130,129
129,130,U Mass,-19.1,43,130,130
