,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Wisconsin,241.4,324.3,282.0,266.7,206.0,299.9
1,2,Georgia,265.1,363.0,536.0,232.4,288.4,321.0
2,3,Oklahoma St,268.4,263.7,242.0,290.7,246.2,379.0
3,4,Minnesota,284.9,242.7,233.0,310.1,249.6,415.4
4,5,Air Force,289.0,297.0,214.0,309.8,271.7,304.5
5,6,Cincinnati,310.2,272.3,336.0,298.2,322.2,325.1
6,7,Alabama,312.0,358.7,449.0,292.0,332.0,352.2
7,8,Iowa State,313.6,394.3,348.0,272.4,348.0,341.6
8,9,Houston,315.2,320.0,400.0,335.5,305.0,398.5
9,10,Michigan,315.8,365.3,279.0,299.9,334.3,434.3
10,11,Clemson,317.1,237.0,206.0,284.6,344.2,341.8
11,12,Utah,321.3,221.0,221.0,311.2,328.4,365.0
12,13,Liberty,324.5,332.3,379.0,273.6,360.9,331.8
13,14,Iowa,326.9,366.7,461.0,317.0,338.5,313.8
14,15,San Diego St,327.3,365.7,383.0,348.6,297.6,283.9
15,16,LA Lafayette,327.8,300.3,286.0,267.2,379.7,355.4
16,17,Army,334.0,314.7,283.0,369.8,304.2,275.2
17,18,Kentucky,337.0,300.0,352.0,336.5,337.6,380.7
18,19,Notre Dame,338.8,243.0,227.0,354.7,316.4,344.1
19,20,Arizona St,340.4,329.7,396.0,313.7,372.4,435.8
20,21,Miss State,342.7,421.3,388.0,366.0,314.8,389.7
21,22,Purdue,342.9,377.3,205.0,325.0,360.8,401.3
22,23,Texas A&M,343.7,380.7,412.0,304.8,390.4,317.3
23,24,UAB,344.1,357.3,394.0,366.0,328.4,313.4
24,25,NC State,344.2,362.7,446.0,347.0,340.8,415.7
25,26,Washington,346.5,337.7,454.0,401.8,280.2,346.3
26,27,Florida,346.9,364.3,348.0,348.4,345.7,428.0
27,28,Navy,349.2,325.7,232.0,375.5,322.8,385.5
28,29,Penn State,349.7,324.0,451.0,307.3,400.6,329.0
29,30,Coastal Car,349.8,388.7,516.0,307.2,392.3,351.9
30,31,Syracuse,349.9,371.7,334.0,317.8,388.4,463.9
31,32,TX El Paso,350.8,395.7,469.0,360.8,343.6,418.7
32,33,Troy,351.1,400.7,387.0,358.4,345.0,403.3
33,33,Wyoming,351.1,418.7,490.0,325.0,372.8,328.0
34,35,App State,352.5,411.0,641.0,322.4,371.4,331.6
35,36,Fresno St,353.2,307.0,401.0,345.8,358.4,430.0
36,37,Kansas St,354.5,371.0,381.0,368.8,337.4,444.7
