,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Ohio State,551.3,579.0,458.0,584.0,505.6,519.4
1,2,W Kentucky,532.5,564.7,641.0,511.4,545.8,294.5
2,3,Virginia,511.4,422.0,474.0,496.3,529.4,412.8
3,4,Alabama,500.9,529.3,536.0,532.8,469.0,541.8
4,5,Mississippi,495.4,454.0,388.0,538.0,444.2,555.9
5,6,Pittsburgh,486.1,409.3,385.0,514.7,457.5,372.0
6,7,Coastal Car,484.3,501.0,514.0,504.3,464.2,448.4
7,8,N Carolina,476.3,458.7,446.0,520.3,423.4,537.0
8,9,Wake Forest,473.8,371.3,295.0,484.0,466.6,428.3
9,10,W Michigan,468.4,551.3,636.0,469.8,467.2,479.7
10,11,Kent State,464.3,509.3,391.0,588.0,402.4,612.5
11,12,S Methodist,463.8,411.7,405.0,529.4,409.2,501.4
12,13,Tennessee,462.5,463.0,441.0,453.3,478.5,346.2
13,14,Michigan,451.9,483.7,461.0,453.4,450.2,381.3
14,15,Louisville,451.5,473.7,352.0,428.8,478.6,444.2
15,16,Florida,449.1,357.3,372.0,469.8,431.8,509.8
16,17,Iowa State,447.0,450.0,543.0,459.2,436.8,436.3
17,18,Fresno St,446.8,450.7,469.0,443.2,449.4,479.3
18,19,Central Mich,446.2,479.3,366.0,460.4,434.3,420.5
19,20,UCLA,445.8,519.0,446.0,431.9,465.4,455.7
20,21,TX-San Ant,444.7,432.3,556.0,423.0,466.3,407.8
21,22,USC,443.7,450.3,409.0,462.6,417.2,416.7
22,23,BYU,443.6,455.3,394.0,465.8,427.7,521.4
23,24,Georgia,439.4,466.7,449.0,459.2,425.3,424.1
24,25,Kentucky,437.8,543.7,511.0,516.8,343.0,318.3
25,26,E Carolina,436.7,449.0,282.0,414.4,455.3,403.3
26,27,Marshall,436.6,399.7,286.0,417.4,450.3,365.1
27,28,Toledo,436.3,476.7,447.0,449.2,427.0,494.0
28,29,Arkansas,436.1,393.7,425.0,459.2,408.4,391.5
29,30,Miss State,435.9,464.3,420.0,399.0,480.2,340.2
30,31,Utah State,435.3,405.0,383.0,413.6,448.9,275.8
31,32,App State,434.7,409.3,609.0,464.2,416.3,445.2
32,33,Tulsa,432.7,423.0,374.0,435.0,430.8,414.1
33,34,North Texas,432.6,496.7,456.0,392.8,465.8,490.1
34,35,Cincinnati,431.7,462.7,400.0,482.3,381.0,442.8
35,36,TX Christian,431.5,371.3,348.0,459.7,397.6,412.4
36,37,Oregon St,430.7,378.3,415.0,423.6,435.7,408.9
37,38,Nebraska,430.5,380.0,327.0,448.5,409.0,391.5
38,39,Utah,427.1,397.3,361.0,421.4,431.1,409.8
39,40,Liberty,426.8,399.7,522.0,430.8,423.9,478.9
40,41,Nevada,426.4,418.3,528.0,436.8,417.7,441.4
41,42,Oklahoma,425.6,335.7,441.0,421.5,430.6,483.4
42,43,Maryland,425.4,461.7,575.0,428.2,422.0,409.0
43,44,Texas,424.8,436.7,381.0,494.3,355.2,475.4
44,44,Purdue,424.8,467.3,447.0,402.5,447.0,391.2
45,46,Air Force,424.4,506.3,511.0,445.2,407.0,389.3
46,47,Miami (FL),423.6,437.7,530.0,432.3,413.2,440.3
47,48,Memphis,421.5,351.7,392.0,377.3,474.6,441.8
48,49,Duke,418.8,340.0,219.0,455.0,375.4,379.7
49,50,N Illinois,417.7,391.7,516.0,385.4,437.9,367.5
50,51,Miami (OH),417.1,477.0,549.0,467.5,388.3,365.3
51,51,Michigan St,417.1,385.3,451.0,420.0,414.7,330.6
52,53,Oregon,416.5,340.3,221.0,453.3,379.7,412.9
53,54,Notre Dame,415.3,482.0,509.0,426.4,399.8,448.5
54,55,Houston,414.6,423.3,336.0,397.8,423.0,408.9
55,56,LA Lafayette,414.0,426.3,498.0,442.2,389.9,421.8
56,57,Texas Tech,412.5,341.0,386.0,419.4,406.8,408.6
57,58,Colorado St,411.9,468.0,445.0,405.6,417.2,323.5
58,59,Baylor,407.3,354.3,242.0,436.8,377.8,310.2
59,60,NC State,406.8,413.7,360.0,409.0,404.2,386.2
60,61,Oklahoma St,405.8,371.3,333.0,461.0,350.5,427.5
61,62,Arizona St,401.8,318.7,314.0,416.7,384.0,458.5
62,63,Charlotte,398.0,464.0,480.0,422.8,377.3,377.7
63,64,Buffalo,396.2,360.3,336.0,394.4,397.7,478.1
64,65,Auburn,393.5,340.3,159.0,412.5,370.8,382.8
65,66,Hawaii,391.0,421.7,490.0,398.8,385.4,384.0
66,67,Fla Atlantic,388.9,340.7,413.0,475.8,316.5,324.6
67,68,Missouri,388.2,346.7,316.0,398.3,376.0,402.0
68,69,TX El Paso,387.1,397.3,401.0,384.8,388.7,354.7
69,70,Texas A&M,386.8,361.7,296.0,431.7,333.0,439.3
70,71,Boise State,384.5,377.3,320.0,393.8,375.2,352.6
71,72,Arkansas St,384.5,426.3,471.0,407.2,365.5,481.4
72,73,Wash State,384.2,435.7,454.0,391.8,375.0,384.0
73,74,Florida St,383.5,382.3,348.0,427.3,330.8,382.3
74,75,Georgia State,383.4,398.0,387.0,386.0,380.8,424.3
