,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,LA Lafayette,0.5,0.0,0.0,0.5,0.4,1.2
1,2,Arkansas,0.5,0.3,1.0,0.7,0.4,1.3
2,3,Toledo,0.6,0.3,1.0,0.8,0.4,2.0
3,4,Army,0.6,0.3,0.0,0.8,0.5,1.3
4,4,Mississippi,0.6,1.0,1.0,0.5,0.8,1.8
5,4,Colorado,0.6,0.3,0.0,0.8,0.5,1.8
6,7,Navy,0.7,0.3,0.0,1.0,0.3,1.1
7,8,Ohio State,0.8,0.3,0.0,0.9,0.6,1.1
8,9,NC State,0.8,1.3,1.0,0.3,1.4,1.6
9,9,Air Force,0.8,0.7,0.0,1.0,0.7,1.3
10,9,Ball State,0.8,0.3,0.0,0.8,0.8,1.1
11,9,California,0.8,1.3,0.0,0.4,1.2,1.3
12,13,Coastal Car,0.8,1.0,0.0,0.8,0.8,1.1
13,13,BYU,0.8,1.0,1.0,1.2,0.6,0.8
14,15,Michigan,0.8,1.0,2.0,0.6,1.2,1.0
15,16,VA Tech,0.9,1.0,1.0,1.0,0.8,1.3
16,16,Nevada,0.9,0.3,0.0,1.2,0.7,1.0
17,16,Kansas St,0.9,0.7,0.0,0.8,1.0,1.5
18,16,Syracuse,0.9,1.0,1.0,1.2,0.6,1.9
19,20,Alabama,0.9,1.0,0.0,1.2,0.7,0.9
20,20,Houston,0.9,1.3,1.0,1.0,0.9,2.0
21,20,Minnesota,0.9,0.3,1.0,1.4,0.2,1.0
22,23,E Michigan,1.0,0.7,1.0,0.8,1.1,2.0
23,23,Utah,1.0,1.0,2.0,1.2,0.9,2.6
24,23,Tennessee,1.0,1.0,1.0,1.3,0.5,1.5
25,23,Auburn,1.0,1.0,1.0,1.0,1.0,0.8
26,23,Illinois,1.0,1.0,1.0,0.7,1.4,1.1
27,23,Miami (OH),1.0,1.3,2.0,1.0,1.0,0.7
28,23,TX-San Ant,1.0,1.0,0.0,0.8,1.2,0.9
29,23,Kent State,1.0,1.3,2.0,0.5,1.3,1.0
30,31,UCLA,1.1,1.3,1.0,1.1,1.0,1.9
31,31,Oregon,1.1,0.7,2.0,1.0,1.2,2.3
32,31,Georgia,1.1,0.7,2.0,1.0,1.1,1.5
33,31,Notre Dame,1.1,1.0,1.0,0.9,1.4,0.9
