,Rank,Team,2021,Last 3,Last 1,Home,Away,2020
0,1,Iowa,2.3,2.0,2.0,1.7,3.0,2.3
1,2,Wash State,2.3,2.3,4.0,1.7,3.0,1.5
2,3,Middle Tenn,2.3,0.7,1.0,3.8,1.5,1.6
3,3,Cincinnati,2.3,1.3,1.0,1.5,3.0,2.2
4,5,W Kentucky,2.2,2.0,4.0,2.8,1.9,0.9
5,6,S Alabama,2.2,2.3,3.0,2.6,1.8,1.3
6,7,Wake Forest,2.2,2.0,0.0,2.8,1.7,1.6
7,8,Nevada,2.1,2.0,5.0,2.6,1.7,1.0
8,9,TX-San Ant,2.1,2.3,4.0,2.5,1.7,1.6
9,10,S Carolina,2.0,1.7,1.0,2.2,1.8,1.1
10,10,S Mississippi,2.0,3.7,4.0,1.8,2.2,1.2
11,12,Notre Dame,1.9,2.0,2.0,1.3,2.8,1.4
12,12,Wisconsin,1.9,2.3,1.0,1.7,2.2,1.7
13,12,Baylor,1.9,2.7,4.0,1.5,2.3,1.9
14,12,Hawaii,1.9,2.0,0.0,2.8,1.3,1.9
15,12,Boise State,1.9,1.0,0.0,1.8,2.0,0.4
16,17,E Carolina,1.9,1.3,3.0,2.8,1.2,2.0
17,18,Oklahoma,1.8,2.7,3.0,2.0,1.6,1.8
18,18,Troy,1.8,1.3,2.0,1.4,2.2,1.3
19,20,Fresno St,1.8,1.3,1.0,1.2,2.1,1.7
20,20,Kent State,1.8,1.7,1.0,1.8,1.8,1.3
21,20,Houston,1.8,1.0,0.0,1.8,1.8,0.8
22,23,California,1.7,1.7,2.0,1.8,1.7,1.3
23,23,Florida St,1.7,2.3,3.0,1.5,2.0,1.6
24,23,Central FL,1.7,1.3,0.0,1.8,1.6,2.2
25,23,LA Tech,1.7,2.0,2.0,1.0,2.3,1.3
26,27,LA Lafayette,1.7,1.3,2.0,1.7,1.7,2.1
27,28,UAB,1.7,1.3,1.0,2.2,1.3,1.4
28,29,Penn State,1.6,1.0,1.0,1.7,1.6,1.0
29,29,Michigan St,1.6,1.3,2.0,1.6,1.7,1.6
30,29,Mississippi,1.6,1.0,0.0,2.0,1.2,1.3
31,29,Rice,1.6,2.7,3.0,2.2,1.2,1.8
32,29,Ball State,1.6,2.7,4.0,1.8,1.5,2.1
33,34,Utah State,1.6,2.0,2.0,1.4,1.8,0.7
34,35,San Diego St,1.6,2.0,1.0,1.6,1.6,1.6
35,35,Ohio State,1.6,1.3,1.0,1.7,1.4,2.4
36,35,UCLA,1.6,1.7,2.0,1.9,1.2,1.6
37,35,Georgia State,1.6,2.7,4.0,1.7,1.5,2.1
38,35,Oregon,1.6,1.0,2.0,2.0,1.2,1.0
39,35,Pittsburgh,1.6,2.0,4.0,1.0,2.2,1.7
40,41,N Mex State,1.5,1.7,0.0,1.3,1.7,--
41,41,Fla Atlantic,1.5,1.7,0.0,1.2,1.8,1.2
42,43,App State,1.5,0.7,1.0,1.6,1.5,1.6
43,44,BYU,1.5,1.0,1.0,2.0,1.1,1.1
44,44,USC,1.5,1.3,0.0,1.3,1.8,2.7
45,46,Rutgers,1.5,2.0,0.0,1.4,1.5,2.1
46,46,Tulsa,1.5,1.0,2.0,1.4,1.5,1.8
47,46,Bowling Grn,1.5,1.3,3.0,1.4,1.5,0.2
48,46,Kansas,1.5,2.7,2.0,1.4,1.5,1.1
49,46,S Florida,1.5,1.3,0.0,2.0,1.0,1.3
50,46,Vanderbilt,1.5,1.0,1.0,1.2,1.8,1.0
51,46,Washington,1.5,0.7,0.0,1.5,1.4,2.0
52,53,Oregon St,1.4,1.3,3.0,1.6,1.3,0.9
53,53,Alabama,1.4,1.0,2.0,1.0,1.8,1.7
54,53,Illinois,1.4,1.7,2.0,1.4,1.4,1.9
55,56,Air Force,1.4,1.7,2.0,1.2,1.5,1.3
56,56,Arkansas St,1.4,1.7,0.0,1.0,1.7,0.9
57,56,Arizona St,1.4,1.7,2.0,1.3,1.4,3.3
58,56,Clemson,1.4,2.3,2.0,1.8,1.0,2.0
59,56,Miami (OH),1.4,2.3,2.0,1.5,1.3,0.7
60,56,Old Dominion,1.4,2.7,4.0,1.4,1.3,--
61,56,Northwestern,1.4,1.3,1.0,1.2,1.5,2.1
62,56,Miss State,1.4,0.7,1.0,1.8,0.8,1.6
63,56,NC State,1.4,1.7,1.0,1.5,1.2,1.1
64,56,Missouri,1.4,1.3,1.0,1.5,1.2,1.0
65,56,Boston Col,1.4,1.0,1.0,1.0,1.7,1.9
66,67,Toledo,1.3,0.7,1.0,1.0,1.6,1.5
67,67,Oklahoma St,1.3,1.7,2.0,1.2,1.5,1.5
68,67,Marshall,1.3,0.7,0.0,1.0,1.6,1.6
69,67,Purdue,1.3,0.7,1.0,1.0,1.7,1.2
70,71,North Texas,1.3,1.7,3.0,1.2,1.3,1.0
71,71,UNLV,1.3,1.0,0.0,1.4,1.2,0.8
72,71,LA Monroe,1.3,1.0,0.0,1.8,0.8,1.0
73,71,Texas A&M,1.3,1.0,0.0,1.7,0.8,1.4
74,71,Virginia,1.3,1.7,1.0,1.7,0.8,1.9
75,71,VA Tech,1.3,1.0,2.0,1.2,1.4,1.5
76,71,N Carolina,1.3,1.3,1.0,1.7,0.8,0.9
77,71,Colorado St,1.3,1.0,0.0,1.0,1.5,1.3
78,71,Memphis,1.3,2.7,4.0,1.8,0.6,1.8
79,71,Duke,1.3,0.3,0.0,1.8,0.6,1.8
80,81,Minnesota,1.3,1.3,1.0,1.0,1.6,1.0
81,81,E Michigan,1.3,1.3,1.0,0.8,1.6,2.0
82,81,Georgia,1.3,0.7,0.0,1.0,1.4,1.3
83,84,Michigan,1.2,0.7,1.0,0.9,1.7,0.5
84,85,Tulane,1.2,2.0,0.0,1.8,0.7,1.6
85,85,Arkansas,1.2,2.0,1.0,1.2,1.2,1.8
86,85,Army,1.2,2.0,0.0,1.4,1.0,1.7
87,85,Temple,1.2,1.0,1.0,1.2,1.2,1.7
88,85,Charlotte,1.2,1.0,2.0,0.8,1.5,1.3
89,85,Central Mich,1.2,1.7,1.0,1.2,1.2,2.5
90,85,Wyoming,1.2,1.0,1.0,1.2,1.2,1.7
91,92,Navy,1.2,1.0,0.0,1.3,1.0,0.9
92,93,U Mass,1.1,0.7,0.0,1.5,0.8,0.5
93,94,Kansas St,1.1,1.7,1.0,1.3,0.8,1.2
94,94,Colorado,1.1,2.0,1.0,1.6,0.7,1.3
95,94,Buffalo,1.1,0.7,0.0,0.6,1.5,1.4
96,94,Texas Tech,1.1,0.7,0.0,1.0,1.2,1.0
97,94,TX Christian,1.1,1.0,0.0,1.2,1.0,1.2
98,94,Iowa State,1.1,1.0,1.0,1.0,1.2,1.4
99,94,Louisville,1.1,1.0,0.0,1.3,0.8,1.1
100,94,Florida,1.1,1.0,3.0,1.4,0.8,1.3
101,94,San Jose St,1.1,1.7,1.0,1.4,0.8,1.4
102,103,Texas,1.1,0.0,0.0,0.7,1.5,1.8
103,103,Coastal Car,1.1,1.3,1.0,0.3,1.8,2.2
104,105,TX El Paso,1.0,0.3,0.0,1.4,0.7,0.7
105,105,W Michigan,1.0,1.0,2.0,1.0,1.0,0.5
106,105,LSU,1.0,0.3,0.0,1.2,0.8,2.2
107,105,Utah,1.0,0.7,2.0,1.0,1.0,2.6
108,105,S Methodist,1.0,1.0,2.0,1.4,0.7,1.8
109,105,New Mexico,1.0,0.7,0.0,0.8,1.2,1.9
110,111,Liberty,0.9,0.3,1.0,1.0,0.9,1.1
111,112,Akron,0.9,0.3,0.0,0.4,1.3,1.0
112,112,Miami (FL),0.9,1.0,1.0,0.7,1.2,1.5
113,112,Nebraska,0.9,1.0,1.0,1.0,0.8,0.9
114,112,GA Tech,0.9,0.3,0.0,0.4,1.3,1.8
115,112,W Virginia,0.9,1.0,2.0,0.8,1.0,1.3
116,117,Connecticut,0.9,1.3,1.0,0.8,1.0,--
117,118,Texas State,0.8,0.3,0.0,1.0,0.7,1.3
118,118,Florida Intl,0.8,1.0,3.0,0.6,1.0,0.8
119,118,Tennessee,0.8,0.3,1.0,0.6,1.3,1.0
120,118,Maryland,0.8,1.0,1.0,0.8,0.8,0.8
121,122,N Illinois,0.8,1.0,0.0,1.0,0.6,1.2
122,123,Stanford,0.8,1.0,1.0,0.8,0.7,1.2
123,124,Indiana,0.7,0.0,0.0,0.8,0.7,2.5
124,124,Kentucky,0.7,1.3,1.0,1.0,0.4,2.0
125,124,GA Southern,0.7,0.7,1.0,1.0,0.5,2.2
126,124,Auburn,0.7,0.7,1.0,0.5,1.0,1.2
127,124,Ohio,0.7,0.3,0.0,0.6,0.8,2.0
128,129,Syracuse,0.5,0.3,1.0,0.5,0.6,2.2
129,130,Arizona,0.3,0.0,0.0,0.4,0.2,0.6
